player,injury,start,end,season,missed,ir_sequence
/players/ashawn-robinson-robinas01,Knee,2018-12-28,2019-02-24,2018,1,1
/players/ashawn-robinson-robinas01,Knee,2022-11-26,2023-02-24,2022,7,2
/players/ashtyn-davis-davisas02,Foot,2020-12-12,2021-02-24,2020,4,1
/players/ashtyn-davis-davisas02,Foot,2021-09-02,2021-10-03,2021,3,2
/players/auden-tate-tateau01,Calf,2021-12-04,2022-02-24,2021,5,3
/players/auden-tate-tateau01,Knee,2019-12-10,2020-02-24,2019,3,1
/players/auden-tate-tateau01,Shoulder,2020-12-02,2021-02-24,2020,5,2
/players/austin-bryant-bryanau01,"Upper Body",2019-09-02,2019-11-24,2019,10,1
/players/austin-corbett-corbeau01,Knee,2023-11-22,2024-02-24,2023,3,1
/players/austin-jackson-jacksau01,,2022-09-16,2022-11-27,2022,7,2
/players/austin-jackson-jacksau01,Ankle,2022-12-05,2023-02-24,2022,NULL,3
/players/austin-jackson-jacksau01,Foot,2020-10-09,2020-11-08,2020,3,1
/players/austin-johnson-johnsau02,Knee,2022-11-09,2023-02-24,2022,10,1
/players/austin-proehl-proehau01,Undisclosed,2022-08-17,2022-08-18,2022,NULL,1
/players/austin-reiter-reiteau01,Knee,2016-10-10,2017-02-24,2016,11,1
/players/austin-seferianjenkins-seferau01,Abdomen,2018-10-09,2019-02-24,2018,11,2
/players/austin-seferianjenkins-seferau01,Back,2014-12-15,2015-02-24,2014,2,1
/players/austin-seibert-seibeau01,Hip,2021-11-13,2022-02-24,2021,9,1
/players/avery-williams-williav03,Knee,2023-06-16,2024-02-24,2023,NULL,1
/players/avery-williamson-williav01,Knee,2019-08-18,2020-02-24,2019,16,1
/players/avonte-maddox-maddoav01,Hamstring,2022-11-14,2022-12-11,2022,4,2
/players/avonte-maddox-maddoav01,Knee,2020-12-18,2021-02-24,2020,3,1
/players/avonte-maddox-maddoav01,Pectoral,2023-09-20,2023-12-31,2023,13,3
/players/azeez-ojulari-ojulaaz01,Ankle,2023-10-14,2023-11-12,2023,4,2
/players/azeez-ojulari-ojulaaz01,Calf,2022-10-22,2022-12-04,2022,5,1
