player,position,1,2,3,4,5,6,7,8,9,10,11
Isaiahh Loudermilk,DT,Healthy,Healthy,Healthy,,,,,,,,
Isiah Pacheco,RB,Healthy,Healthy,,,,,,,,,
Israel Abanikanda,RB,Healthy,,,,,,,,,,
Israel Mukuamu,DB,Hamstring,Healthy,Healthy,,,,,,,,
Ito Smith,RB,Knee,Neck,Healthy,Healthy,,,,,,,
J'Mon Moore,WR,Healthy,Healthy,,Undisclosed,,,,,,,
J.C. Tretter,C,Ankle,Knee,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,,
J.J. Arcega-Whiteside,WR,Healthy,Healthy,Finger,Healthy,Healthy,,,,,,
J.J. Dielman,C,Healthy,Knee,,,,,,,,,
J.J. Nelson,WR,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
J.J. Wilcox,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
J.K. Dobbins,RB,Healthy,Knee,Knee,Achilles,,,,,,,
JK Scott,P,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
JL Skinner,DB,Healthy,,,,,,,,,,
JT Woods,DB,Healthy,Healthy,,,,,,,,,
Ja'Marr Chase,WR,Healthy,Healthy,Healthy,,,,,,,,
Ja'Sir Taylor,DB,Healthy,Healthy,,,,,,,,,
Ja'Tyre Carter,OG,Healthy,Healthy,,,,,,,,,
Ja'Whaun Bentley,LB,Undisclosed,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Ja'Wuan James,OT,Healthy,Healthy,Healthy,Hamstring,Healthy,Healthy,,,Achilles,,
JaCoby Stevens,LB,Healthy,Healthy,,,,,,,,,
JaCorey Shepherd,DB,,Healthy,Healthy,,,,,,,,
Jabari Price,DB,Healthy,Shoulder,Knee,Healthy,,,,,,,
Jabari Zuniga,DE,Quadriceps,Healthy,Healthy,,,,,,,,
Jabril Cox,LB,Knee,Healthy,Healthy,,,,,,,,
Jabrill Peppers,DB,Healthy,Healthy,Back,Healthy,Knee,Healthy,Healthy,,,,
Jace Amaro,TE,Healthy,Shoulder,Healthy,Healthy,Healthy,,,,,,
Jace Sternberger,TE,Ankle,Healthy,Healthy,Healthy,,,,,,,
Jachai Polite,LB,Healthy,Healthy,,,,,,,,,
Jack Anderson,C,Hamstring,Healthy,Calf,,,,,,,,
Jack Campbell,LB,Healthy,,,,,,,,,,
Jack Cichy,LB,Knee,Elbow,Hamstring,,,,,,,,
Jack Conklin,OT,Healthy,Healthy,Knee,Healthy,Healthy,Elbow,Healthy,Knee,,,
Jack Driscoll,OT,Knee,Pectoral,Healthy,Healthy,,,,,,,
Jack Jones,DB,Knee,Hamstring,,,,,,,,,
Jack Mewhort,OG,Healthy,Healthy,Knee,Knee,,,,,,,
Jack Tocho,DB,Healthy,Healthy,,,,,,,,,
Jackson Barton,OT,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Jackson Carman,OT,Healthy,Healthy,Healthy,,,,,,,,
Jacob Eason,QB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jacob Harris,WR,Knee,Pectoral,Healthy,,,,,,,,
Jacob Martin,DE,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,,,,,
Jacob Phillips,LB,Healthy,Biceps,Pectoral,Pectoral,,,,,,,
Jacoby Brissett,QB,Thumb,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jadeveon Clowney,LB,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,
Jaelan Phillips,LB,Healthy,Healthy,Achilles,,,,,,,,
Jaelen Strong,WR,Healthy,Ankle,Knee,,Healthy,,,,,,
Jaelon Darden,WR,Healthy,Healthy,Healthy,,,,,,,,
Jaelyn Duncan,OT,Healthy,,,,,,,,,,
Jahan Dotson,WR,Healthy,Healthy,,,,,,,,,
Jahlani Tavai,LB,Shoulder,Healthy,Healthy,Healthy,Healthy,,,,,,
Jahmyr Gibbs,RB,Healthy,,,,,,,,,,
Jaire Alexander,DB,Healthy,Healthy,Healthy,Shoulder,Healthy,Healthy,,,,,
Jake Andrews,C,Healthy,,,,,,,,,,
Jake Bailey,P,Healthy,Healthy,Healthy,Back,Healthy,,,,,,
Jake Butt,TE,,Knee,Knee,Hamstring,,,,,,,
Jake Camarda,P,Healthy,Healthy,,,,,,,,,
Jake Elliott,K,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jake Ferguson,TE,Healthy,Healthy,,,,,,,,,
Jake Fisher,OT,Healthy,Healthy,Healthy,Back,,,,,,,
Jake Fromm,QB,Healthy,Healthy,,Healthy,,,,,,,
Jake Funk,RB,Hamstring,Healthy,Healthy,,,,,,,,
Jake Haener,QB,Healthy,,,,,,,,,,
Jake Hanson,OG,,Healthy,Biceps,Shin,,,,,,,
Jake Luton,QB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jake Matthews,OT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jake Moody,K,Healthy,,,,,,,,,,
Jake Rodgers,OT,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,,,,,
Jake Rudock,QB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Jake Ryan,LB,Healthy,Healthy,Healthy,,Hamstring,,,,,,
Jake Witt,OT,Hip,,,,,,,,,,
Jakeem Grant,WR,Healthy,Healthy,Achilles,Ankle,Healthy,Ankle,,Knee,,,
Jakorian Bennett,DB,Healthy,,,,,,,,,,
Jaleel Johnson,DT,Healthy,Healthy,Healthy,Healthy,Healthy,Undisclosed,Healthy,,,,
Jaleel Scott,WR,Hamstring,Healthy,Healthy,,,,,,,,
Jalen Brooks,WR,Healthy,,,,,,,,,,
Jalen Camp,WR,Healthy,Healthy,Healthy,,,,,,,,
Jalen Carter,DT,Healthy,,,,,,,,,,
Jalen Collins,DB,Healthy,Healthy,Healthy,,Healthy,,,,,,
Jalen Graham,LB,Healthy,,,,,,,,,,
Jalen Hurd,WR,Back,,Knee,,,,,,,,
Jalen Hurts,QB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jalen Jelks,DE,Undisclosed,,,,,,,,,,
Jalen Mayfield,OG,Healthy,Back,Healthy,,,,,,,,
Jalen Mills,DB,Healthy,Healthy,Foot,Foot,Healthy,Healthy,Healthy,Healthy,,,
Jalen Myrick,DB,Healthy,Healthy,Healthy,,,,,,,,
Jalen Nailor,WR,Healthy,Hamstring,,,,,,,,,
Jalen Pitre,DB,Healthy,Healthy,,,,,,,,,
Jalen Ramsey,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,
Jalen Reagor,WR,Thumb,Healthy,Healthy,Healthy,,,,,,,
Jalen Reeves-Maybin,LB,Healthy,Neck,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jalen Saunders,WR,Healthy,Healthy,,,,,,,,,
Jalen Tabor,DB,Healthy,Healthy,,,Ankle,Healthy,Healthy,,,,
Jalen Tolbert,WR,Healthy,Healthy,,,,,,,,,
Jalin Hyatt,WR,Healthy,,,,,,,,,,
Jalston Fowler,RB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jalyn Armour-Davis,DB,Hip,Concussion,,,,,,,,,
Jalyn Holmes,DE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Jamaal Williams,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Hamstring,,,,
Jamal Adams,DB,Healthy,Healthy,Healthy,Healthy,Shoulder,Knee,Quadriceps,,,,
Jamal Agnew,WR,Healthy,Knee,Healthy,Healthy,Hip,Healthy,Shoulder,,,,
Jamar Johnson,DB,Healthy,Healthy,,,,,,,,,
Jamar Taylor,DB,Healthy,Shoulder,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,
Jamarco Jones,OG,Ankle,Healthy,Groin,Back,Triceps,,,,,,
Jamaree Salyer,OG,Healthy,Healthy,,,,,,,,,
Jameis Winston,QB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,,
Jamel Dean,DB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
James Bradberry,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
James Conner,RB,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,,
James Cook,RB,Healthy,Healthy,,,,,,,,,
James Daniels,OG,Healthy,Healthy,Pectoral,Healthy,Healthy,Healthy,,,,,
James Houston,LB,Healthy,Ankle,,,,,,,,,
James Hudson,OT,Healthy,Healthy,Healthy,,,,,,,,
James Looney,DT,Healthy,Healthy,,,,,,,,,
James Lynch,DT,Healthy,Healthy,Healthy,,,,,,,,
James Mitchell,TE,Healthy,Hand,,,,,,,,,
James Morgan,QB,Healthy,Healthy,,,,,,,,,
James O'Shaughnessy,TE,Foot,Healthy,Healthy,Healthy,Knee,Healthy,Ankle,Healthy,,,
James Proche,WR,Healthy,Healthy,Healthy,Healthy,,,,,,,
James Sample,DB,Shoulder,Shoulder,,,,,,,,,
James Smith-Williams,DE,Healthy,Healthy,Healthy,Healthy,,,,,,,
James Washington,WR,Healthy,Healthy,Healthy,Healthy,Foot,Healthy,,,,,
James White,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Hip,,,
James Wiggins,DB,Knee,Healthy,,,,,,,,,
James Wright,WR,Healthy,,Healthy,,Knee,,,,,,
Jameson Williams,WR,Healthy,Healthy,,,,,,,,,
Jamie Collins,LB,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Ankle,Healthy,
Jamien Sherwood,LB,Achilles,Healthy,Healthy,,,,,,,,
Jamil Demby,OT,Healthy,Healthy,,Undisclosed,,,,,,,
Jamil Douglas,OG,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jamin Davis,LB,Healthy,Knee,Shoulder,,,,,,,,
Jamison Crowder,WR,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,,
Jammie Robinson,DB,Healthy,,,,,,,,,,
Jamon Brown,OG,Leg,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Jamoris Slaughter,DB,Healthy,,,,,,,,,,
Janarius Robinson,DE,Undisclosed,Ankle,Healthy,,,,,,,,
Jaquan Brisker,DB,Healthy,Healthy,,,,,,,,,
Jaquan Johnson,DB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Jaquelin Roy,DT,Healthy,,,,,,,,,,
Jaquiski Tartt,DB,Healthy,Healthy,Forearm,Shoulder,Healthy,Toe,Knee,Healthy,,,
Jared Abbrederis,WR,,Healthy,Thigh,Healthy,,,,,,,
Jared Goff,QB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jared Smith,DT,Healthy,,Healthy,Undisclosed,,,,,,,
Jaren Hall,QB,Healthy,,,,,,,,,,
Jarrad Davis,LB,Healthy,Healthy,Ankle,Healthy,Ankle,Healthy,,,,,
Jarran Reed,DT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jarrett Patterson,C,Ankle,,,,,,,,,,
Jarrett Stidham,QB,Healthy,Healthy,Back,Healthy,Healthy,,,,,,
Jarrick Bernard,DB,Ankle,,,,,,,,,,
Jartavius Martin,DB,Healthy,,,,,,,,,,
Jarvis Harrison,OG,Healthy,Healthy,Healthy,,,,,,,,
Jarvis Jones,LB,Healthy,Wrist,Healthy,Healthy,Healthy,,,,,,
Jarvis Landry,WR,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Ankle,,
Jashon Cornell,DE,,Healthy,Undisclosed,,,,,,,,
Jason Huntley,RB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jason Pinnock,DB,Healthy,Healthy,Toe,,,,,,,,
Jason Sanders,K,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Jason Spriggs,OT,Healthy,Hamstring,Healthy,,Healthy,Healthy,,,,,
Jason Strowbridge,DE,Healthy,Healthy,,,,,,,,,
Jason Taylor II,DB,Healthy,,,,,,,,,,
Jason Verrett,DB,Shoulder,Healthy,Knee,Knee,,Ankle,Healthy,Knee,,Healthy,
Jatavis Brown,LB,Healthy,Healthy,Ankle,Healthy,,,,,,,
Jauan Jennings,WR,,Healthy,Healthy,Healthy,,,,,,,
Javon Hargrave,DT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Javon Kinlaw,DT,Healthy,Knee,Knee,Healthy,,,,,,,
Javon Patterson,C,,Healthy,Healthy,,,,,,,,
Javon Wims,WR,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Javonte Williams,RB,Healthy,Knee,Healthy,,,,,,,,
Javorius Allen,RB,Healthy,Healthy,Healthy,Healthy,Undisclosed,,,,,,
Jawaan Taylor,OT,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Jawan Jamison,RB,Healthy,Healthy,,,,,,,,,
Jaxon Smith-Njigba,WR,Healthy,,,,,,,,,,
Jay Ajayi,RB,Ribs,Healthy,Healthy,Knee,Healthy,,,,,,
Jay Bromley,DT,Healthy,Healthy,Healthy,Healthy,Arm,Healthy,,,,,
Jay Prosch,RB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Jay Tufele,DT,Hand,Healthy,Healthy,,,,,,,,
Jay Ward,DB,Healthy,,,,,,,,,,
Jaycee Horn,DB,Foot,Wrist,Hamstring,,,,,,,,
Jayden Reed,WR,Healthy,,,,,,,,,,
Jaylen Samuels,RB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jaylen Twyman,DT,,Healthy,Healthy,,,,,,,,
Jaylen Waddle,WR,Healthy,Healthy,Healthy,,,,,,,,
Jaylen Watkins,DB,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,,,,
Jaylen Watson,DB,Healthy,Healthy,,,,,,,,,
Jaylinn Hawkins,DB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jaylon Ferguson,DE,Healthy,Healthy,Healthy,,,,,,,,
Jaylon Johnson,DB,Healthy,Healthy,Finger,Healthy,,,,,,,
Jaylon Jones,DB,Healthy,,,,,,,,,,
Jaylon Moore,OT,Healthy,Healthy,Healthy,,,,,,,,
Jaylon Smith,LB,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jayon Brown,LB,Healthy,Healthy,Healthy,Elbow,Knee,Hand,,,,,
Jayron Kearse,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jayson Oweh,LB,Healthy,Healthy,Healthy,,,,,,,,
Jedrick Wills,OT,Healthy,Healthy,Healthy,Knee,,,,,,,
Jeff Baca,OG,Healthy,Healthy,,,,,,,,,
Jeff Driskel,QB,Healthy,Hand,Healthy,Hamstring,Healthy,Clavicle,Healthy,Healthy,,,
Jeff Gladney,DB,Healthy,,,,,,,,,,
Jeff Heuerman,TE,,Healthy,Healthy,Ribs,Healthy,,,,,,
Jeff Janis,WR,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Jeff Locke,P,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Jeffery Simmons,DT,Healthy,Healthy,Healthy,Healthy,Knee,,,,,,
Jeffrey Gunter,DE,Healthy,Healthy,,,,,,,,,
Jeffrey Okudah,DB,Groin,Achilles,Healthy,Healthy,,,,,,,
Jehu Chesson,WR,Healthy,Healthy,Healthy,,,,,,,,
Jelani Jenkins,LB,Healthy,Healthy,Healthy,Healthy,Undisclosed,,,,,,
Jelani Woods,TE,Healthy,,,,,,,,,,
Jemea Thomas,DB,Healthy,Healthy,,,,,,,,,
Jeoffrey Pagan,DE,Healthy,Healthy,,,,,,,,,
Jerald Hawkins,OT,Shoulder,Healthy,,Healthy,Healthy,,,,,,
Jerell Adams,TE,Healthy,Healthy,Healthy,Healthy,,Healthy,,,,,
Jeremiah Attaochu,LB,Healthy,Healthy,Foot,Healthy,Concussion,Healthy,Healthy,Pectoral,Healthy,,
Jeremiah George,LB,Healthy,Healthy,Healthy,Healthy,Back,,,,,,
Jeremiah Ledbetter,DT,Healthy,Healthy,Ankle,Healthy,Healthy,Undisclosed,Healthy,,,,
Jeremiah Owusu-Koramoah,LB,Ankle,Foot,Healthy,,,,,,,,
Jeremiah Poutasi,OT,Healthy,Ankle,Healthy,Healthy,,,Healthy,,,,
Jeremy Chinn,DB,Healthy,Healthy,Hamstring,Quadriceps,,,,,,,
Jeremy Clark,DB,Healthy,Healthy,,,,,,,,,
Jeremy Gallon,WR,Healthy,,,,,,,,,,
Jeremy Harris,DB,Back,Healthy,Healthy,Healthy,,,,,,,
Jeremy Hill,RB,Healthy,Healthy,Healthy,Ankle,Knee,,,,,,
Jeremy Langford,RB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jeremy McNichols,RB,Healthy,Healthy,Healthy,Healthy,Healthy,,Healthy,,,,
Jeremy Ruckert,TE,Healthy,Concussion,,,,,,,,,
Jeremy Sprinkle,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Achilles,,,,,
Jerick McKinnon,RB,Back,Healthy,Healthy,Healthy,Knee,,Healthy,Hamstring,Healthy,Groin,
Jermaine Carter,LB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Jermaine Eluemunor,OT,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,,,,
Jermaine Johnson,LB,Healthy,Healthy,,,,,,,,,
Jermaine Kelly,DB,Undisclosed,,,,,,,,,,
Jermar Jefferson,RB,Healthy,Healthy,Undisclosed,,,,,,,,
Jerome Baker,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,,,
Jerome Ford,RB,Ankle,Healthy,,,,,,,,,
Jerrick Reed,DB,Knee,,,,,,,,,,
Jerry Jeudy,WR,Healthy,Ankle,Healthy,Healthy,,,,,,,
Jerry Tillery,DT,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Jesse James,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Biceps,,,
Jesse Luketa,LB,Healthy,Healthy,,,,,,,,,
Jesse Williams,DT,Knee,,Healthy,,,,,,,,
Jessie Bates III,DB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Jevon Holland,DB,Healthy,Healthy,Healthy,,,,,,,,
Ji'Ayir Brown,DB,Healthy,,,,,,,,,,
Jihad Ward,LB,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jimmie Ward,DB,Foot,Healthy,Shoulder,Forearm,Arm,Healthy,Healthy,Healthy,Hamstring,Quadriceps,
Jimmy Garoppolo,QB,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Ankle,Healthy,Healthy,Healthy,
Jimmy Landes,LS,Shoulder,,,,,,,,,,
Jimmy Moreland,DB,Foot,Healthy,Undisclosed,,Hand,,,,,,
Jimmy Morrissey,C,Healthy,Healthy,Healthy,,,,,,,,
Jimmy Staten,DT,,Healthy,Healthy,Undisclosed,,,,,,,
Joe Burrow,QB,Knee,Healthy,Healthy,Wrist,,,,,,,
Joe Cardona,LS,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,,
Joe Dahl,OG,Healthy,Leg,Healthy,Back,Groin,,,,,,
Joe Haeg,OT,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,Concussion,,,,
Joe Jackson,DE,Healthy,Healthy,Healthy,,,,,,,,
Joe Kruger,DE,Shoulder,Healthy,Healthy,,,,,,,,
Joe Mixon,RB,Healthy,Healthy,Healthy,Foot,Healthy,Healthy,Healthy,,,,
Joe Reed,WR,Healthy,Healthy,Healthy,Undisclosed,,,,,,,
Joe Schobert,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Joe Thuney,OG,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Pectoral,,,
Joe Tippmann,C,Healthy,,,,,,,,,,
Joe Tryon-Shoyinka,LB,Healthy,Healthy,Healthy,,,,,,,,
Joe Walker,LB,Knee,Neck,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Joe Williams,RB,Ankle,Healthy,,,,,,,,,
Joejuan Williams,DB,Healthy,Healthy,Healthy,Shoulder,Healthy,,,,,,
Joel Bitonio,OG,Healthy,Ankle,Foot,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Joel Iyiegbuniwe,LB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Joey Bosa,LB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Groin,Foot,,,
Joey Hunt,C,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,Healthy,,,
Joey Iosefa,RB,Healthy,Healthy,,,,,,,,,
Joey Ivie,DT,Healthy,Healthy,Healthy,,Healthy,,,,,,
Joey Porter Jr.,DB,Healthy,,,,,,,,,,
John Bates,TE,Healthy,Healthy,Healthy,,,,,,,,
John Boyett,DB,,Healthy,,,,,,,,,
John Brown,WR,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,,
John Cominsky,DE,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
John FitzPatrick,TE,Undisclosed,Healthy,,,,,,,,,
John Franklin-Myers,DE,Healthy,Undisclosed,Healthy,Healthy,Healthy,Healthy,,,,,
John Hightower,WR,Healthy,Healthy,Healthy,Healthy,,,,,,,
John Jenkins,DT,Healthy,Abdomen,Healthy,Healthy,Healthy,Healthy,Healthy,Thumb,Healthy,Healthy,Healthy
John Johnson,DB,Healthy,Healthy,Shoulder,Healthy,Healthy,Healthy,Healthy,,,,
John Kelly,RB,Healthy,Healthy,,Healthy,Healthy,Healthy,,,,,
John Metchie,WR,,Healthy,,,,,,,,,
John Michael Schmitz,C,Healthy,,,,,,,,,,
John Miller,OG,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,,,
John Penisini,DT,Healthy,Healthy,,,,,,,,,
John Reid,DB,Healthy,Healthy,Groin,,,,,,,,
John Ridgeway,DT,Healthy,Healthy,,,,,,,,,
John Ross,WR,Shoulder,Healthy,Shoulder,Foot,Hamstring,,,,,,
John Simon,DE,Healthy,Healthy,Healthy,Healthy,Shoulder,Healthy,Healthy,Healthy,Healthy,,
John Simpson,OG,Healthy,Healthy,Healthy,Healthy,,,,,,,
John Theus,OT,Healthy,Illness,,,,,,,,,
John Urschel,C,Healthy,Healthy,Healthy,,,,,,,,
John Ursua,WR,Healthy,,Knee,,,,,,,,
Johnathan Abram,DB,Shoulder,Healthy,Shoulder,Healthy,Healthy,,,,,,
Johnathan Cyprien,DB,Healthy,Healthy,Healthy,Healthy,Healthy,,Undisclosed,Hamstring,,,
Johnathan Ford,DB,Knee,Healthy,Abdomen,Hamstring,Healthy,Healthy,Hamstring,,,,
Johnathan Franklin,RB,Concussion,,,,,,,,,,
Johnathan Hankins,DT,Healthy,Healthy,Pectoral,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Pectoral,Healthy
Johnny Manziel,QB,Hamstring,Healthy,,,,,,,,,
Johnny Townsend,P,Healthy,Healthy,Healthy,Healthy,,,,,,,
Johnthan Banks,DB,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,,
Jon Feliciano,OG,Healthy,Healthy,Concussion,Calf,Healthy,Pectoral,Calf,Healthy,Healthy,,
Jon Gaines,OG,Knee,,,,,,,,,,
Jon Halapio,C,Healthy,Healthy,Healthy,Healthy,Leg,Healthy,,,,,
Jon Runyan,OG,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jonah Jackson,OG,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jonah Williams,OT,,Knee,Healthy,Healthy,Healthy,,,,,,
Jonathan Allen,DT,Lisfranc,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jonathan Bostic,LB,Healthy,Healthy,Healthy,,Knee,Healthy,Healthy,Healthy,Pectoral,Pectoral,
Jonathan Bullard,DE,Healthy,Healthy,Healthy,Hamstring,Healthy,Healthy,Biceps,Healthy,,,
Jonathan Cooper,OG,Leg,Healthy,Healthy,Healthy,Healthy,Biceps,Healthy,,,,
Jonathan Dowling,DB,Back,Healthy,Knee,,,,,,,,
Jonathan Ford,DT,Healthy,Healthy,,,,,,,,,
Jonathan Garvin,LB,Healthy,Healthy,Healthy,,,,,,,,
Jonathan Greenard,LB,Healthy,Healthy,Calf,Healthy,,,,,,,
Jonathan Marshall,DT,Healthy,Healthy,Healthy,,,,,,,,
Jonathan Meeks,DB,Leg,Neck,Healthy,Healthy,,,,,,,
Jonathan Mingo,WR,Foot,,,,,,,,,,
Jonathan Newsome,DE,Healthy,Healthy,,,,,,,,,
Jonathan Taylor,RB,Healthy,Healthy,Ankle,Ankle,,,,,,,
Jonathan Williams,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Undisclosed,,,
Jonathan Woodard,DE,,Healthy,Healthy,,,,,,,,
Jonathon Cooper,LB,Healthy,Healthy,Healthy,,,,,,,,
Jonnu Smith,TE,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jordan Addison,WR,Healthy,,,,,,,,,,
Jordan Akins,TE,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,,
Jordan Battle,DB,Healthy,,,,,,,,,,
Jordan Brailford,LB,,Healthy,Healthy,Healthy,,,,,,,
Jordan Brown,DB,Healthy,,Healthy,Undisclosed,,,,,,,
Jordan Carrell,DT,Healthy,,,,,,,,,,
Jordan Davis,DT,Ankle,Healthy,,,,,,,,,
Jordan Elliott,DT,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jordan Evans,LB,Healthy,Ankle,Healthy,Healthy,Knee,,,,,,
Jordan Fuller,DB,Shoulder,Ankle,Hamstring,Healthy,,,,,,,
Jordan Glasgow,LB,Healthy,Concussion,,,,,,,,,
Jordan Hicks,LB,Pectoral,Healthy,Achilles,Healthy,Healthy,Healthy,Healthy,Healthy,Leg,,
Jordan Hill,DT,Healthy,Calf,Healthy,Hamstring,Biceps,,,,,,
Jordan Howard,RB,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jordan Howden,DB,Healthy,,,,,,,,,,
Jordan Jackson,DT,Healthy,Healthy,,,,,,,,,
Jordan Jenkins,LB,Healthy,Healthy,Healthy,Healthy,Shoulder,Knee,Leg,,,,
Jordan Lasley,WR,Healthy,Healthy,,,,,,,,,
Jordan Leggett,TE,Knee,Healthy,Healthy,,,,,,,,
Jordan Love,QB,Healthy,Healthy,Healthy,Healthy,,,,,,,
Jordan Lucas,DB,Healthy,Healthy,Healthy,Healthy,,Quadriceps,,,,,
Jordan Mailata,OT,Back,Back,Healthy,Healthy,Healthy,Healthy,,,,,
Jordan Matthews,TE,Healthy,Healthy,Healthy,Knee,Hamstring,Healthy,Healthy,Healthy,,Healthy,
Jordan McFadden,OG,Healthy,,,,,,,,,,
Jordan Miller,DB,Healthy,Oblique,Healthy,Healthy,,,,,,,
Jordan Mills,OT,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,Healthy,Healthy,
Jordan Morgan,OG,Undisclosed,Healthy,Healthy,,,,,,,,
Jordan Payton,WR,Healthy,Healthy,,,,,,,,,
Jordan Phillips,DT,Healthy,Healthy,Healthy,Healthy,Healthy,Hamstring,Undisclosed,Healthy,Wrist,,
Jordan Poyer,DB,Healthy,Healthy,Healthy,Abdomen,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
