,page,transdate,team,transaction
25574,/players/jacob-harris-harrija13,2023-09-25,Jacksonville (NFL),Returned to the Practice Squad
25573,/players/jacob-harris-harrija13,2023-09-30,Jacksonville (NFL),Signed to the Active Roster from the Practice Squad
25572,/players/jacob-harris-harrija13,2023-10-02,Jacksonville (NFL),Returned to the Practice Squad
25571,/players/jacob-harris-harrija13,2024-01-18,Philadelphia (NFL),Signed to a future contract
18552,/players/jacob-martin-martija06,2018-05-04,Seattle (NFL),Signed
18551,/players/jacob-martin-martija06,2019-09-01,Seattle (NFL),Traded to the Houston Texans
18550,/players/jacob-martin-martija06,2020-11-05,Houston (NFL),Placed on COVID-19 List
18549,/players/jacob-martin-martija06,2020-11-17,Houston (NFL),Activated from the Reserve/COVID-19 List
18548,/players/jacob-martin-martija06,2021-12-20,Houston (NFL),Placed on COVID-19 List
18547,/players/jacob-martin-martija06,2021-12-25,Houston (NFL),Activated from the Reserve/COVID-19 List
18546,/players/jacob-martin-martija06,2022-03-18,NY Jets (NFL),Signed
18545,/players/jacob-martin-martija06,2022-11-01,NY Jets (NFL),Traded to the Denver Broncos
18544,/players/jacob-martin-martija06,2022-12-14,Denver (NFL),Placed on Injured Reserve (Knee)
18543,/players/jacob-martin-martija06,2023-05-10,Denver (NFL),Released
18542,/players/jacob-martin-martija06,2023-05-22,Houston (NFL),Signed
18541,/players/jacob-martin-martija06,2023-08-29,Houston (NFL),Released
18540,/players/jacob-martin-martija06,2023-08-31,Indianapolis (NFL),Signed
18539,/players/jacob-martin-martija06,2024-03-18,Chicago (NFL),Signed
23195,/players/jacob-phillips-phillja07,2020-07-13,Cleveland (NFL),Signed
23194,/players/jacob-phillips-phillja07,2020-12-27,Cleveland (NFL),Placed on COVID-19 List
23193,/players/jacob-phillips-phillja07,2020-12-31,Cleveland (NFL),Activated from the Reserve/COVID-19 List
23192,/players/jacob-phillips-phillja07,2021-09-02,Cleveland (NFL),Placed on Injured Reserve (Biceps)
23191,/players/jacob-phillips-phillja07,2021-12-06,Cleveland (NFL),Designated for return from Injured Reserve
23190,/players/jacob-phillips-phillja07,2021-12-11,Cleveland (NFL),Activated from Injured Reserve
23189,/players/jacob-phillips-phillja07,2021-12-17,Cleveland (NFL),Placed on COVID-19 List
23188,/players/jacob-phillips-phillja07,2021-12-22,Cleveland (NFL),Activated from the Reserve/COVID-19 List
23187,/players/jacob-phillips-phillja07,2022-10-26,Cleveland (NFL),Placed on Injured Reserve (Pectoral)
23186,/players/jacob-phillips-phillja07,2023-08-12,Cleveland (NFL),Placed on Injured Reserve (Pectoral)
23185,/players/jacob-phillips-phillja07,2024-04-23,Houston (NFL),Signed
10748,/players/jacoby-brissett-brissja01,2016-06-16,New England (NFL),Signed
10747,/players/jacoby-brissett-brissja01,2016-10-07,New England (NFL),Placed on Injured Reserve (Thumb)
10746,/players/jacoby-brissett-brissja01,2016-12-21,New England (NFL),Activated from Injured Reserve
10745,/players/jacoby-brissett-brissja01,2017-09-02,New England (NFL),Traded to the Indianapolis Colts
10744,/players/jacoby-brissett-brissja01,2021-03-18,Miami (NFL),Signed
10743,/players/jacoby-brissett-brissja01,2022-03-25,Cleveland (NFL),Signed
10742,/players/jacoby-brissett-brissja01,2023-03-16,Washington (NFL),Signed
10741,/players/jacoby-brissett-brissja01,2024-03-15,New England (NFL),Signed
26263,/players/jacoby-stevens-steveja01,2021-06-07,Philadelphia (NFL),Signed
26262,/players/jacoby-stevens-steveja01,2021-08-31,Philadelphia (NFL),Waived
26261,/players/jacoby-stevens-steveja01,2021-09-01,Philadelphia (NFL),Signed to the Practice Squad
26260,/players/jacoby-stevens-steveja01,2022-01-01,Philadelphia (NFL),Signed to the Active Roster from the Practice Squad
26259,/players/jacoby-stevens-steveja01,2022-01-03,Philadelphia (NFL),Returned to the Practice Squad
26258,/players/jacoby-stevens-steveja01,2022-01-04,Philadelphia (NFL),Signed to the Active Roster from the Practice Squad
26257,/players/jacoby-stevens-steveja01,2022-01-10,Philadelphia (NFL),Returned to the Practice Squad
26256,/players/jacoby-stevens-steveja01,2022-01-18,Philadelphia (NFL),Signed to a future contract
26255,/players/jacoby-stevens-steveja01,2022-08-30,Philadelphia (NFL),Waived
8604,/players/jacorey-shepherd-shephja02,2015-05-12,Philadelphia (NFL),Signed
8603,/players/jacorey-shepherd-shephja02,2015-09-01,Philadelphia (NFL),Placed on Injured Reserve (Knee)
8602,/players/jacorey-shepherd-shephja02,2016-09-03,Philadelphia (NFL),Waived
8601,/players/jacorey-shepherd-shephja02,2016-09-21,Philadelphia (NFL),Signed to the Practice Squad
8600,/players/jacorey-shepherd-shephja02,2016-09-27,Philadelphia (NFL),Released from the Practice Squad
8599,/players/jacorey-shepherd-shephja02,2016-10-03,Philadelphia (NFL),Signed to the Practice Squad
8598,/players/jacorey-shepherd-shephja02,2016-10-07,Philadelphia (NFL),Released from the Practice Squad
8597,/players/jacorey-shepherd-shephja02,2016-10-10,San Francisco (NFL),Signed
8596,/players/jacorey-shepherd-shephja02,2017-05-02,San Francisco (NFL),Waived
8595,/players/jacorey-shepherd-shephja02,2017-08-05,Pittsburgh (NFL),Signed
8594,/players/jacorey-shepherd-shephja02,2017-09-02,Pittsburgh (NFL),Waived
8593,/players/jacorey-shepherd-shephja02,2019-03-25,Birmingham (AAF),Waived
8592,/players/jacorey-shepherd-shephja02,2019-03-28,Birmingham (AAF),Signed
2937,/players/jadeveon-clowney-clownja01,2014-06-06,Houston (NFL),Signed
2936,/players/jadeveon-clowney-clownja01,2014-12-10,Houston (NFL),Placed on Injured Reserve (Knee)
2935,/players/jadeveon-clowney-clownja01,2019-03-04,Houston (NFL),Designated as franchise player
2934,/players/jadeveon-clowney-clownja01,2019-08-31,Houston (NFL),Re-signed
2933,/players/jadeveon-clowney-clownja01,2019-09-01,Houston (NFL),Traded to the Seattle Seahawks
2932,/players/jadeveon-clowney-clownja01,2020-09-08,Tennessee (NFL),Signed
2931,/players/jadeveon-clowney-clownja01,2020-11-21,Tennessee (NFL),Placed on Injured Reserve (Knee)
2930,/players/jadeveon-clowney-clownja01,2021-04-14,Cleveland (NFL),Signed
2929,/players/jadeveon-clowney-clownja01,2021-12-20,Cleveland (NFL),Placed on COVID-19 List
2928,/players/jadeveon-clowney-clownja01,2021-12-27,Cleveland (NFL),Activated from the Reserve/COVID-19 List
2927,/players/jadeveon-clowney-clownja01,2022-05-25,Cleveland (NFL),Re-signed
2926,/players/jadeveon-clowney-clownja01,2023-03-15,Cleveland (NFL),Released
2925,/players/jadeveon-clowney-clownja01,2023-08-18,Baltimore (NFL),Signed
2924,/players/jadeveon-clowney-clownja01,2024-03-29,Carolina (NFL),Signed
24992,/players/jaelan-phillips-phillja08,2021-06-09,Miami (NFL),Signed
24991,/players/jaelan-phillips-phillja08,2023-11-28,Miami (NFL),Placed on Injured Reserve (Achilles)
6994,/players/jaelen-strong-stronja01,2015-05-08,Houston (NFL),Signed
6993,/players/jaelen-strong-stronja01,2016-12-10,Houston (NFL),Placed on Injured Reserve (Ankle)
6992,/players/jaelen-strong-stronja01,2017-09-02,Houston (NFL),Placed on the Reserve/Suspended List
6991,/players/jaelen-strong-stronja01,2017-09-12,Houston (NFL),Activated from the Reserve/Suspended List
6990,/players/jaelen-strong-stronja01,2017-09-18,Houston (NFL),Waived
6989,/players/jaelen-strong-stronja01,2017-09-19,Jacksonville (NFL),Acquired via waivers (from the Houston Texans)
6988,/players/jaelen-strong-stronja01,2017-11-18,Jacksonville (NFL),Waived
6987,/players/jaelen-strong-stronja01,2017-11-21,Jacksonville (NFL),Signed to the Practice Squad
6986,/players/jaelen-strong-stronja01,2017-12-23,Jacksonville (NFL),Signed to the Active Roster from the Practice Squad
6985,/players/jaelen-strong-stronja01,2017-12-26,Jacksonville (NFL),Placed on Injured Reserve (Knee)
6984,/players/jaelen-strong-stronja01,2018-04-30,Jacksonville (NFL),Waived
6983,/players/jaelen-strong-stronja01,2019-02-20,Cleveland (NFL),Signed
6982,/players/jaelen-strong-stronja01,2019-08-27,Cleveland (NFL),Waived
25482,/players/jaelon-darden-dardeja01,2021-05-19,Tampa Bay (NFL),Signed
25481,/players/jaelon-darden-dardeja01,2021-12-23,Tampa Bay (NFL),Placed on COVID-19 List
25480,/players/jaelon-darden-dardeja01,2022-01-04,Tampa Bay (NFL),Activated from the Reserve/COVID-19 List
25479,/players/jaelon-darden-dardeja01,2022-12-06,Tampa Bay (NFL),Waived
25478,/players/jaelon-darden-dardeja01,2022-12-07,Cleveland (NFL),Acquired via waivers (from the Tampa Bay Buccaneers)
25477,/players/jaelon-darden-dardeja01,2023-08-29,Cleveland (NFL),Waived
25476,/players/jaelon-darden-dardeja01,2023-08-30,Cleveland (NFL),Signed to the Practice Squad
25475,/players/jaelon-darden-dardeja01,2023-10-14,Cleveland (NFL),Signed to the Active Roster from the Practice Squad
25474,/players/jaelon-darden-dardeja01,2023-10-16,Cleveland (NFL),Returned to the Practice Squad
25473,/players/jaelon-darden-dardeja01,2024-01-15,Cleveland (NFL),Signed to a future contract
27755,/players/jaelyn-duncan-duncaja02,2023-05-12,Tennessee (NFL),Signed
26640,/players/jahan-dotson-dotsoja01,2022-05-18,Washington (NFL),Signed
19919,/players/jahlani-tavai-tavaija01,2019-05-10,Detroit (NFL),Signed
19918,/players/jahlani-tavai-tavaija01,2019-12-23,Detroit (NFL),Placed on Injured Reserve (Shoulder)
19917,/players/jahlani-tavai-tavaija01,2021-08-31,Detroit (NFL),Waived
19916,/players/jahlani-tavai-tavaija01,2021-09-02,New England (NFL),Signed to the Practice Squad
19915,/players/jahlani-tavai-tavaija01,2021-09-25,New England (NFL),Signed to the Active Roster from the Practice Squad
19914,/players/jahlani-tavai-tavaija01,2021-09-27,New England (NFL),Returned to the Practice Squad
19913,/players/jahlani-tavai-tavaija01,2021-10-02,New England (NFL),Signed to the Active Roster from the Practice Squad
19912,/players/jahlani-tavai-tavaija01,2021-10-04,New England (NFL),Returned to the Practice Squad
19911,/players/jahlani-tavai-tavaija01,2021-10-13,New England (NFL),Signed to the Active Roster from the Practice Squad
27506,/players/jahmyr-gibbs-gibbsja02,2023-07-17,Detroit (NFL),Signed
16663,/players/jaire-alexander-alexaja02,2018-05-15,Green Bay (NFL),Signed
16662,/players/jaire-alexander-alexaja02,2021-10-09,Green Bay (NFL),Placed on Injured Reserve (Shoulder)
16661,/players/jaire-alexander-alexaja02,2021-12-08,Green Bay (NFL),Designated for return from Injured Reserve
16660,/players/jaire-alexander-alexaja02,2021-12-29,Green Bay (NFL),Activated from Injured Reserve
16659,/players/jaire-alexander-alexaja02,2022-01-02,Green Bay (NFL),Placed on COVID-19 List
16658,/players/jaire-alexander-alexaja02,2022-01-07,Green Bay (NFL),Activated from the Reserve/COVID-19 List
16657,/players/jaire-alexander-alexaja02,2023-12-27,Green Bay (NFL),Placed on the Reserve/Suspended List
16656,/players/jaire-alexander-alexaja02,2024-01-01,Green Bay (NFL),Activated from the Reserve/Suspended List
27622,/players/jake-andrews-andreja02,2023-05-24,New England (NFL),Signed
21132,/players/jake-bailey-baileja01,2019-05-10,New England (NFL),Signed
21131,/players/jake-bailey-baileja01,2022-11-19,New England (NFL),Placed on Injured Reserve (Back)
21130,/players/jake-bailey-baileja01,2022-12-21,New England (NFL),Designated for return from Injured Reserve
21129,/players/jake-bailey-baileja01,2023-01-06,New England (NFL),Placed on the Reserve/Suspended List
21128,/players/jake-bailey-baileja01,2023-03-10,New England (NFL),Released
21127,/players/jake-bailey-baileja01,2023-03-17,Miami (NFL),Signed
21126,/players/jake-bailey-baileja01,2024-03-14,Miami (NFL),Re-signed
14736,/players/jake-butt-buttja01,2017-05-11,Denver (NFL),Signed
14735,/players/jake-butt-buttja01,2017-09-02,Denver (NFL),Placed on the Non-Football Injury List (Knee)
14734,/players/jake-butt-buttja01,2018-09-29,Denver (NFL),Placed on Injured Reserve (Knee)
14733,/players/jake-butt-buttja01,2019-09-02,Denver (NFL),Placed on Injured Reserve (Knee)
14732,/players/jake-butt-buttja01,2020-11-03,Denver (NFL),Placed on Injured Reserve (Hamstring)
14731,/players/jake-butt-buttja01,2020-12-10,Denver (NFL),Designated for return from Injured Reserve
14730,/players/jake-butt-buttja01,2020-12-31,Denver (NFL),Activated from Injured Reserve
14729,/players/jake-butt-buttja01,2021-06-21,Chicago (NFL),Signed
14728,/players/jake-butt-buttja01,2021-07-28,Chicago (NFL),Placed on the Reserve/Retired List
14727,/players/jake-butt-buttja01,2021-09-15,Chicago (NFL),Waived
26925,/players/jake-camarda-camarja01,2022-06-09,Tampa Bay (NFL),Signed
14816,/players/jake-elliott-ellioja04,2017-05-15,Cincinnati (NFL),Signed
14815,/players/jake-elliott-ellioja04,2017-09-02,Cincinnati (NFL),Waived
14814,/players/jake-elliott-ellioja04,2017-09-03,Cincinnati (NFL),Signed to the Practice Squad
14813,/players/jake-elliott-ellioja04,2017-09-12,Philadelphia (NFL),Signed from the Cincinnati Bengals practice squad
26920,/players/jake-ferguson-ferguja05,2022-06-08,Dallas (NFL),Signed
6791,/players/jake-fisher-fisheja01,2015-05-20,Cincinnati (NFL),Signed
6790,/players/jake-fisher-fisheja01,2017-11-08,Cincinnati (NFL),Placed on the Non-Football Illness List
6789,/players/jake-fisher-fisheja01,2018-11-29,Cincinnati (NFL),Placed on Injured Reserve (Back)
6788,/players/jake-fisher-fisheja01,2019-03-22,Buffalo (NFL),Signed
6787,/players/jake-fisher-fisheja01,2019-05-13,Buffalo (NFL),Released
23880,/players/jake-fromm-frommja01,2020-05-08,Buffalo (NFL),Signed
23879,/players/jake-fromm-frommja01,2021-08-31,Buffalo (NFL),Waived
23878,/players/jake-fromm-frommja01,2021-09-01,Buffalo (NFL),Signed to the Practice Squad
23877,/players/jake-fromm-frommja01,2021-11-02,Buffalo (NFL),Placed on Practice Squad/COVID-19 List
23876,/players/jake-fromm-frommja01,2021-11-11,Buffalo (NFL),Restored to the Practice Squad
23875,/players/jake-fromm-frommja01,2021-12-01,NY Giants (NFL),Signed from the Buffalo Bills practice squad
23874,/players/jake-fromm-frommja01,2022-10-18,Washington (NFL),Signed to the Practice Squad
23873,/players/jake-fromm-frommja01,2023-01-09,Washington (NFL),Signed to a future contract
23872,/players/jake-fromm-frommja01,2023-08-29,Washington (NFL),Waived
23871,/players/jake-fromm-frommja01,2023-08-30,Washington (NFL),Signed to the Practice Squad
23870,/players/jake-fromm-frommja01,2023-12-30,Washington (NFL),Signed to the Active Roster from the Practice Squad
23869,/players/jake-fromm-frommja01,2024-05-14,Washington (NFL),Waived
26367,/players/jake-funk-funkja01,2021-05-17,LA Rams (NFL),Signed
26366,/players/jake-funk-funkja01,2021-10-19,LA Rams (NFL),Placed on Injured Reserve (Hamstring)
26365,/players/jake-funk-funkja01,2021-12-20,LA Rams (NFL),Designated for return from Injured Reserve
26364,/players/jake-funk-funkja01,2021-12-21,LA Rams (NFL),Activated from Injured Reserve
26363,/players/jake-funk-funkja01,2022-10-11,LA Rams (NFL),Waived
26362,/players/jake-funk-funkja01,2022-10-15,New Orleans (NFL),Signed to the Practice Squad
26361,/players/jake-funk-funkja01,2022-11-08,New Orleans (NFL),Released from the Practice Squad
26360,/players/jake-funk-funkja01,2022-11-10,Indianapolis (NFL),Signed to the Practice Squad
26359,/players/jake-funk-funkja01,2023-01-03,Indianapolis (NFL),Signed to the Active Roster from the Practice Squad
26358,/players/jake-funk-funkja01,2023-08-29,Indianapolis (NFL),Waived
26357,/players/jake-funk-funkja01,2023-08-30,Indianapolis (NFL),Signed to the Practice Squad
26356,/players/jake-funk-funkja01,2023-09-09,Indianapolis (NFL),Signed to the Active Roster from the Practice Squad
26355,/players/jake-funk-funkja01,2023-09-11,Indianapolis (NFL),Returned to the Practice Squad
26354,/players/jake-funk-funkja01,2023-09-13,Indianapolis (NFL),Signed to the Active Roster from the Practice Squad
26353,/players/jake-funk-funkja01,2023-10-07,Indianapolis (NFL),Waived
26352,/players/jake-funk-funkja01,2023-10-10,Miami (NFL),Signed to the Practice Squad
26351,/players/jake-funk-funkja01,2023-11-18,Miami (NFL),Released from the Practice Squad
26350,/players/jake-funk-funkja01,2023-12-19,Baltimore (NFL),Signed to the Practice Squad
26349,/players/jake-funk-funkja01,2024-01-10,Baltimore (NFL),Released from the Practice Squad
26348,/players/jake-funk-funkja01,2024-01-23,Detroit (NFL),Signed to the Practice Squad
26347,/players/jake-funk-funkja01,2024-01-30,Detroit (NFL),Signed to a future contract
27653,/players/jake-haener-haeneja01,2023-05-17,New Orleans (NFL),Signed
27652,/players/jake-haener-haeneja01,2023-09-06,New Orleans (NFL),Placed on the Reserve/Suspended List
27651,/players/jake-haener-haeneja01,2023-10-16,New Orleans (NFL),Activated from the Reserve/Suspended List
24337,/players/jake-hanson-hansoja03,2020-07-10,Green Bay (NFL),Signed
24336,/players/jake-hanson-hansoja03,2020-09-05,Green Bay (NFL),Waived
24335,/players/jake-hanson-hansoja03,2020-09-06,Green Bay (NFL),Signed to the Practice Squad
24334,/players/jake-hanson-hansoja03,2020-10-13,Green Bay (NFL),Placed on the Practice Squad/Injured List
24333,/players/jake-hanson-hansoja03,2021-01-26,Green Bay (NFL),Signed to a future contract
24332,/players/jake-hanson-hansoja03,2022-04-18,Green Bay (NFL),Re-signed
24331,/players/jake-hanson-hansoja03,2022-10-22,Green Bay (NFL),Placed on Injured Reserve (Biceps)
24330,/players/jake-hanson-hansoja03,2023-08-22,Green Bay (NFL),Waived (injured)
24329,/players/jake-hanson-hansoja03,2023-08-23,Green Bay (NFL),Placed on Injured Reserve (Shin)
24328,/players/jake-hanson-hansoja03,2023-08-24,Green Bay (NFL),Waived from Injured Reserve
24327,/players/jake-hanson-hansoja03,2023-11-06,NY Jets (NFL),Signed to the Practice Squad
24326,/players/jake-hanson-hansoja03,2023-11-18,NY Jets (NFL),Signed to the Active Roster from the Practice Squad
24325,/players/jake-hanson-hansoja03,2023-11-20,NY Jets (NFL),Returned to the Practice Squad
24324,/players/jake-hanson-hansoja03,2023-11-23,NY Jets (NFL),Signed to the Active Roster from the Practice Squad
24323,/players/jake-hanson-hansoja03,2023-11-25,NY Jets (NFL),Returned to the Practice Squad
24322,/players/jake-hanson-hansoja03,2023-12-02,NY Jets (NFL),Signed to the Active Roster from the Practice Squad
24321,/players/jake-hanson-hansoja03,2023-12-04,NY Jets (NFL),Returned to the Practice Squad
24320,/players/jake-hanson-hansoja03,2023-12-09,NY Jets (NFL),Signed to the Active Roster from the Practice Squad
24319,/players/jake-hanson-hansoja03,2024-01-06,NY Jets (NFL),Placed on Injured Reserve (Concussion)
24118,/players/jake-luton-lutonja01,2020-07-21,Jacksonville (NFL),Signed
24117,/players/jake-luton-lutonja01,2021-07-22,Jacksonville (NFL),Placed on COVID-19 List
24116,/players/jake-luton-lutonja01,2021-07-29,Jacksonville (NFL),Activated from the Reserve/COVID-19 List
24115,/players/jake-luton-lutonja01,2021-08-31,Jacksonville (NFL),Waived
24114,/players/jake-luton-lutonja01,2021-09-02,Seattle (NFL),Signed
24113,/players/jake-luton-lutonja01,2021-09-28,Seattle (NFL),Waived
24112,/players/jake-luton-lutonja01,2021-09-30,Seattle (NFL),Signed to the Practice Squad
24111,/players/jake-luton-lutonja01,2021-10-16,Seattle (NFL),Signed to the Active Roster from the Practice Squad
24110,/players/jake-luton-lutonja01,2021-10-18,Seattle (NFL),Returned to the Practice Squad
24109,/players/jake-luton-lutonja01,2021-10-25,Seattle (NFL),Signed to the Active Roster from the Practice Squad
24108,/players/jake-luton-lutonja01,2021-10-26,Seattle (NFL),Returned to the Practice Squad
24107,/players/jake-luton-lutonja01,2021-11-16,Seattle (NFL),Released from the Practice Squad
24106,/players/jake-luton-lutonja01,2021-11-17,Miami (NFL),Signed to the Practice Squad
24105,/players/jake-luton-lutonja01,2022-02-11,Jacksonville (NFL),Signed to a future contract
24104,/players/jake-luton-lutonja01,2022-08-15,Jacksonville (NFL),Waived
24103,/players/jake-luton-lutonja01,2022-08-23,Jacksonville (NFL),Signed
24102,/players/jake-luton-lutonja01,2022-08-26,Jacksonville (NFL),Waived
24101,/players/jake-luton-lutonja01,2022-09-06,New Orleans (NFL),Signed to the Practice Squad
24100,/players/jake-luton-lutonja01,2022-10-01,New Orleans (NFL),Signed to the Active Roster from the Practice Squad
24099,/players/jake-luton-lutonja01,2022-10-15,New Orleans (NFL),Waived
24098,/players/jake-luton-lutonja01,2022-10-18,New Orleans (NFL),Signed to the Practice Squad
24097,/players/jake-luton-lutonja01,2022-11-01,New Orleans (NFL),Released from the Practice Squad
24096,/players/jake-luton-lutonja01,2022-11-09,New Orleans (NFL),Signed to the Practice Squad
24095,/players/jake-luton-lutonja01,2023-01-09,New Orleans (NFL),Signed to a future contract
24094,/players/jake-luton-lutonja01,2023-05-02,New Orleans (NFL),Waived
24093,/players/jake-luton-lutonja01,2023-07-29,Carolina (NFL),Signed
24092,/players/jake-luton-lutonja01,2023-08-26,Carolina (NFL),Waived
24091,/players/jake-luton-lutonja01,2023-09-20,Carolina (NFL),Signed to the Practice Squad
24090,/players/jake-luton-lutonja01,2023-09-23,Carolina (NFL),Signed to the Active Roster from the Practice Squad
24089,/players/jake-luton-lutonja01,2023-09-25,Carolina (NFL),Returned to the Practice Squad
24088,/players/jake-luton-lutonja01,2023-09-27,New Orleans (NFL),Signed from the Carolina Panthers practice squad
24087,/players/jake-luton-lutonja01,2023-10-16,New Orleans (NFL),Waived
24086,/players/jake-luton-lutonja01,2023-10-25,Carolina (NFL),Signed to the Practice Squad
24085,/players/jake-luton-lutonja01,2023-11-30,Carolina (NFL),Released from the Practice Squad
24084,/players/jake-luton-lutonja01,2023-12-05,Carolina (NFL),Signed to the Practice Squad
24083,/players/jake-luton-lutonja01,2023-12-20,Carolina (NFL),Released from the Practice Squad
2986,/players/jake-matthews-matthja01,2014-05-21,Atlanta (NFL),Signed
27612,/players/jake-moody-moodyja01,2023-05-12,San Francisco (NFL),Signed
9106,/players/jake-rodgers-rodgeja03,2015-05-09,Atlanta (NFL),Signed
9105,/players/jake-rodgers-rodgeja03,2015-09-04,Atlanta (NFL),Waived
9104,/players/jake-rodgers-rodgeja03,2015-12-08,NY Giants (NFL),Signed to the Practice Squad
9103,/players/jake-rodgers-rodgeja03,2016-01-04,NY Giants (NFL),Signed to a future contract
9102,/players/jake-rodgers-rodgeja03,2016-09-03,NY Giants (NFL),Waived (injured)
9101,/players/jake-rodgers-rodgeja03,2016-09-04,NY Giants (NFL),Placed on Injured Reserve (Ankle)
9100,/players/jake-rodgers-rodgeja03,2016-09-12,NY Giants (NFL),Waived from Injured Reserve
9099,/players/jake-rodgers-rodgeja03,2016-11-29,Carolina (NFL),Signed to the Practice Squad
9098,/players/jake-rodgers-rodgeja03,2016-12-13,Carolina (NFL),Released from the Practice Squad
9097,/players/jake-rodgers-rodgeja03,2017-01-03,Carolina (NFL),Signed to a future contract
9096,/players/jake-rodgers-rodgeja03,2017-05-02,Carolina (NFL),Waived
9095,/players/jake-rodgers-rodgeja03,2017-05-05,Pittsburgh (NFL),Signed
9094,/players/jake-rodgers-rodgeja03,2017-09-02,Pittsburgh (NFL),Waived
9093,/players/jake-rodgers-rodgeja03,2017-09-20,Pittsburgh (NFL),Signed to the Practice Squad
9092,/players/jake-rodgers-rodgeja03,2017-09-26,Pittsburgh (NFL),Released from the Practice Squad
9091,/players/jake-rodgers-rodgeja03,2017-10-18,Pittsburgh (NFL),Signed to the Practice Squad
9090,/players/jake-rodgers-rodgeja03,2017-11-06,Pittsburgh (NFL),Released from the Practice Squad
9089,/players/jake-rodgers-rodgeja03,2017-11-15,LA Chargers (NFL),Signed to the Practice Squad
9088,/players/jake-rodgers-rodgeja03,2017-11-17,LA Chargers (NFL),Released from the Practice Squad
9087,/players/jake-rodgers-rodgeja03,2017-11-20,Pittsburgh (NFL),Signed to the Practice Squad
9086,/players/jake-rodgers-rodgeja03,2017-12-19,Pittsburgh (NFL),Released from the Practice Squad
9085,/players/jake-rodgers-rodgeja03,2017-12-21,Houston (NFL),Signed to the Practice Squad
9084,/players/jake-rodgers-rodgeja03,2018-01-01,Houston (NFL),Signed to a future contract
9083,/players/jake-rodgers-rodgeja03,2018-05-01,Houston (NFL),Waived
9082,/players/jake-rodgers-rodgeja03,2018-05-02,Pittsburgh (NFL),Acquired via waivers (from the Houston Texans)
9081,/players/jake-rodgers-rodgeja03,2018-09-01,Pittsburgh (NFL),Waived
9080,/players/jake-rodgers-rodgeja03,2018-12-12,Baltimore (NFL),Signed to the Practice Squad
9079,/players/jake-rodgers-rodgeja03,2019-04-22,Denver (NFL),Signed
9078,/players/jake-rodgers-rodgeja03,2019-09-01,Denver (NFL),Waived
9077,/players/jake-rodgers-rodgeja03,2019-09-03,Denver (NFL),Signed to the Practice Squad
9076,/players/jake-rodgers-rodgeja03,2019-09-14,Denver (NFL),Signed
9075,/players/jake-rodgers-rodgeja03,2020-04-23,Denver (NFL),Re-signed
9074,/players/jake-rodgers-rodgeja03,2020-09-05,Denver (NFL),Waived
9073,/players/jake-rodgers-rodgeja03,2020-09-06,Denver (NFL),Signed to the Practice Squad
9072,/players/jake-rodgers-rodgeja03,2020-10-01,Denver (NFL),Signed to the Active Roster from the Practice Squad
9071,/players/jake-rodgers-rodgeja03,2020-10-02,Denver (NFL),Returned to the Practice Squad
9070,/players/jake-rodgers-rodgeja03,2020-10-10,Denver (NFL),Signed to the Active Roster from the Practice Squad
9069,/players/jake-rodgers-rodgeja03,2020-11-24,Denver (NFL),Waived
9068,/players/jake-rodgers-rodgeja03,2020-11-25,Baltimore (NFL),Acquired via waivers (from the Denver Broncos)
9067,/players/jake-rodgers-rodgeja03,2020-12-07,Baltimore (NFL),Waived
12129,/players/jake-rudock-rudocja01,2016-05-06,Detroit (NFL),Signed
12128,/players/jake-rudock-rudocja01,2016-09-03,Detroit (NFL),Waived
12127,/players/jake-rudock-rudocja01,2016-09-04,Detroit (NFL),Signed to the Practice Squad
12126,/players/jake-rudock-rudocja01,2016-11-23,Detroit (NFL),Signed to the Active Roster from the Practice Squad
12125,/players/jake-rudock-rudocja01,2018-09-01,Detroit (NFL),Waived
12124,/players/jake-rudock-rudocja01,2018-09-02,Detroit (NFL),Signed to the Practice Squad
12123,/players/jake-rudock-rudocja01,2019-01-12,Miami (NFL),Signed to a future contract
12122,/players/jake-rudock-rudocja01,2019-08-31,Miami (NFL),Waived
12121,/players/jake-rudock-rudocja01,2019-09-01,Miami (NFL),Signed to the Practice Squad
12120,/players/jake-rudock-rudocja01,2020-01-06,Miami (NFL),Signed to a future contract
12119,/players/jake-rudock-rudocja01,2020-07-25,Miami (NFL),Waived
12118,/players/jake-rudock-rudocja01,2020-09-06,Miami (NFL),Signed to the Practice Squad
12117,/players/jake-rudock-rudocja01,2020-09-14,Miami (NFL),Released from the Practice Squad
12116,/players/jake-rudock-rudocja01,2020-10-03,Miami (NFL),Signed to the Practice Squad
12115,/players/jake-rudock-rudocja01,2020-10-05,Miami (NFL),Released from the Practice Squad
12114,/players/jake-rudock-rudocja01,2020-12-31,Miami (NFL),Signed
7859,/players/jake-ryan-ryanja01,2015-05-08,Green Bay (NFL),Signed
7858,/players/jake-ryan-ryanja01,2018-08-06,Green Bay (NFL),Placed on Injured Reserve (Knee)
7857,/players/jake-ryan-ryanja01,2019-03-19,Jacksonville (NFL),Signed
7856,/players/jake-ryan-ryanja01,2019-08-31,Jacksonville (NFL),Placed on the Non-Football Injury List (Knee)
7855,/players/jake-ryan-ryanja01,2019-11-30,Jacksonville (NFL),Activated from the Reserve/Non-Football Injury List
7854,/players/jake-ryan-ryanja01,2019-12-10,Jacksonville (NFL),Placed on Injured Reserve (Hamstring)
7853,/players/jake-ryan-ryanja01,2020-05-04,Baltimore (NFL),Signed
