year,round,pick,team,player,page,position,season,transdate,transaction,trans_year,trans_month,tran_month,season_num
2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2014,,,,,9.0,2
2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2015,,,,,9.0,3
2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2016,,,,,9.0,4
2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2017,,,,,9.0,5
2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2018,,,,,9.0,6
2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2019,,,,,9.0,7
2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2020,,,,,9.0,8
2013,1,13,New York Jets,Sheldon Richardson,/players/sheldon-richardson-richash02,DT,2021,,,,,9.0,9
2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2013,,,,,9.0,1
2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2014,,,,,9.0,2
2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2015,,,,,9.0,3
2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2016,,,,,9.0,4
2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2017,,,,,9.0,5
2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2018,,,,,9.0,6
2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2019,,,,,9.0,7
2013,1,14,Carolina Panthers,Star Lotulelei,/players/star-lotulelei-lotulst01,DT,2021,,,,,9.0,9
2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2013,,,,,9.0,1
2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2014,,,,,9.0,2
2013,1,15,New Orleans Saints,Kenny Vaccaro,/players/kenny-vaccaro-vaccake01,DB,2015,,,,,9.0,3
