player,1,2,3,4,5,6,7,8,9
Asante Samuel,Healthy,,,,,,,,
Ashtyn Davis,Foot,Foot,,,,,,,
Auden Tate,Healthy,Knee,Shoulder,Calf,,,,,
Austin Blythe,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Austin Bryant,Upper Body,Undisclosed,Healthy,,,,,,
Austin Corbett,Healthy,Healthy,Healthy,Healthy,,,,,
Austin Cutting,Healthy,Healthy,Healthy,,,,,,
Austin Hooper,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Austin Jackson,Foot,Healthy,,,,,,,
Austin Johnson,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Austin Proehl,Healthy,Healthy,Healthy,Healthy,,,,,
Austin Reiter,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,,
Austin Seferian-Jenkins,Back,Healthy,Healthy,Healthy,Abdomen,Healthy,Healthy,Healthy,
Austin Seibert,Healthy,Healthy,Hip,,,,,,
Austin Shepherd,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Avery Moss,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Avery Williams,Healthy,,,,,,,,
Avery Williamson,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,
Avonte Maddox,Healthy,Healthy,Knee,Healthy,,,,,
Azeem Victor,Healthy,Healthy,Healthy,Healthy,,,,,
Azeez Ojulari,Healthy,,,,,,,,
B.J. Daniels,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
B.J. Dubose,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,,
B.J. Goodson,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,,,
B.J. Hill,Healthy,Healthy,Healthy,Healthy,,,,,
B.W. Webb,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Bacarri Rambo,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Baker Mayfield,Healthy,Healthy,Healthy,Healthy,,,,,
Barkevious Mingo,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Baron Browning,Healthy,,,,,,,,
Barrett Jones,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Bashaud Breeland,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Beau Allen,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Undisclosed,Healthy,
Beau Sandland,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,,,
Ben Banogu,Healthy,Healthy,Healthy,,,,,,
Ben Bartch,Healthy,Healthy,,,,,,,
Ben Bredeson,Knee,,,,,,,,
Ben Burr-Kirven,Healthy,Healthy,Knee,,,,,,
Ben Cleveland,Knee,,,,,,,,
Ben DiNucci,Healthy,Healthy,,,,,,,
Ben Gardner,Shoulder,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Ben Gedeon,Healthy,Healthy,Concussion,Undisclosed,Healthy,,,,
Ben Heeney,Healthy,Undisclosed,Undisclosed,Ankle,Healthy,Healthy,Healthy,,
