player,1,2,3,4,5,6,7,8,9
Eric Fisher,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Achilles,
Eric Herman,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Eric Kendricks,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Eric Kush,,Healthy,Healthy,Healthy,Hamstring,Healthy,Healthy,Undisclosed,
Eric Murray,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Eric Pinkins,Healthy,Healthy,Undisclosed,Healthy,Healthy,Healthy,Healthy,Healthy,
Eric Reid,,Healthy,Healthy,Biceps,Healthy,Healthy,Healthy,Healthy,
Eric Rowe,Healthy,Healthy,Healthy,Groin,Healthy,Healthy,Healthy,,
Eric Saubert,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Eric Stokes,Healthy,,,,,,,,
Erik McCoy,Healthy,Healthy,Healthy,,,,,,
Ernest Jones,Ankle,,,,,,,,
Ethan Pocic,Healthy,Healthy,Back,Healthy,Knee,,,,
Evan Boehm,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,
Evan Engram,Healthy,Healthy,Foot,Healthy,Healthy,,,,
Evan McPherson,Healthy,,,,,,,,
Evan Spencer,Concussion,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Evan Weaver,Healthy,Healthy,,,,,,,
Everett Dawkins,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Ezekiel Ansah,,Healthy,Healthy,Healthy,Healthy,Shoulder,Healthy,Biceps,
Ezekiel Elliott,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Ezra Cleveland,Healthy,Healthy,,,,,,,
Fabian Moreau,Healthy,Healthy,Hamstring,Healthy,Healthy,,,,
Fahn Cooper,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Folorunso Fatukasi,Healthy,Healthy,Healthy,Healthy,,,,,
Forrest Lamp,Knee,Healthy,Leg,Healthy,Calf,,,,
Foster Moreau,Knee,Healthy,Healthy,,,,,,
Foyesade Oluokun,Healthy,Healthy,Healthy,Healthy,,,,,
Frank Clark,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Frank Darby,Healthy,,,,,,,,
Frank Ragnow,Healthy,Healthy,Healthy,Toe,,,,,
Fred Warner,Healthy,Healthy,Healthy,Healthy,,,,,
Freddie Swain,Healthy,Healthy,,,,,,,
Gabe Jackson,Healthy,Healthy,Healthy,Healthy,Elbow,Healthy,Healthy,Healthy,
Gabe Wright,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Gabriel Davis,Healthy,Healthy,,,,,,,
Gardner Minshew,Healthy,Healthy,Healthy,,,,,,
Gareon Conley,Shin,Healthy,Healthy,Ankle,Healthy,,,,
Garett Bolles,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Garret Wallow,Healthy,,,,,,,,
Garrett Bradbury,Healthy,Healthy,Healthy,,,,,,
Garrett Gilbert,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Garrett Gilkey,,Healthy,Knee,Undisclosed,Healthy,Healthy,Healthy,Healthy,
Garrett Grayson,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Garrett Scott,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Gary Brightwell,Neck,,,,,,,,
Gary Jennings,Shoulder,Healthy,Undisclosed,,,,,,
Gavin Escobar,,Healthy,Achilles,Healthy,Healthy,Healthy,Healthy,Healthy,
Genard Avery,Healthy,Healthy,Elbow,Healthy,,,,,
Geneo Grissom,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Geno Smith,,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,
Geno Stone,Healthy,Healthy,,,,,,,
Geoff Swaim,Healthy,Pectoral,Healthy,Wrist,Concussion,Healthy,Healthy,,
George Asafo-Adjei,Concussion,Healthy,Healthy,,,,,,
George Kittle,Healthy,Healthy,Healthy,Foot,Calf,,,,
Gerald Christian,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Gerald Everett,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Gerald Hodges,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Geremy Davis,Healthy,Healthy,Healthy,Healthy,Hamstring,Healthy,Healthy,,
Germain Ifedi,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,,
Germaine Pratt,Healthy,Healthy,Healthy,,,,,,
Gerod Holliman,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Geron Christian,Knee,Healthy,Knee,Healthy,,,,,
Gerri Green,Healthy,Healthy,Healthy,,,,,,
Gerrid Doaks,Healthy,,,,,,,,
Giovani Bernard,,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Hip
Grady Jarrett,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Graham Glasgow,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,,,
Grant Delpit,Achilles,Healthy,,,,,,,
Grant Stuard,Healthy,,,,,,,,
Greedy Williams,Healthy,Shoulder,Healthy,,,,,,
Greg Gaines,Healthy,Healthy,Healthy,,,,,,
Greg Little,Ankle,Ankle,Undisclosed,,,,,,
Greg Newsome,Healthy,,,,,,,,
Greg Robinson,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,
Greg Senat,Foot,Undisclosed,Healthy,Undisclosed,,,,,
Greg Stroman,Healthy,Groin,Foot,Healthy,,,,,
Gregory Rousseau,Healthy,,,,,,,,
Grover Stewart,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Ha Ha Clinton-Dix,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Haason Reddick,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Hakeem Adeniji,Healthy,Healthy,,,,,,,
Hakeem Butler,Hand,Healthy,Healthy,,,,,,
Halapoulivaati Vaitai,Healthy,Healthy,Healthy,Healthy,Foot,Healthy,,,
Hamsah Nasirildeen,Undisclosed,,,,,,,,
Harlan Miller,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Harold Landry,Healthy,Healthy,Healthy,Healthy,,,,,
Harrison Bryant,Healthy,Healthy,,,,,,,
Harrison Butker,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Harrison Hand,Healthy,Healthy,,,,,,,
Harrison Phillips,Healthy,Knee,Healthy,Healthy,,,,,
Hassan Ridgeway,Healthy,Healthy,Healthy,Ankle,Biceps,Healthy,,,
Hau'oli Kikaha,Healthy,Knee,Ankle,Healthy,Healthy,Healthy,Healthy,,
Hayden Hurst,Healthy,Healthy,Healthy,Ankle,,,,,
Hayes Pullard,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Henry Anderson,Knee,Healthy,Throat,Healthy,Healthy,Healthy,Pectoral,,
Henry Ruggs,Healthy,Healthy,,,,,,,
Hjalte Froholdt,Shoulder,Healthy,Healthy,,,,,,
Howard Wilson,Knee,Knee,Healthy,Healthy,Healthy,,,,
Hroniss Grasu,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,,
Hugh Thornton,,Knee,Ankle,Ankle,Healthy,Healthy,Healthy,Healthy,
Hunter Bradley,Healthy,Healthy,Healthy,Healthy,,,,,
Hunter Henry,Healthy,Kidney,Knee,Healthy,Healthy,Healthy,,,
Hunter Long,Healthy,,,,,,,,
Hunter Renfrow,Healthy,Healthy,Healthy,,,,,,
IK Enemkpali,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,
Ian Book,Healthy,,,,,,,,
Ian Silberman,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Ian Thomas,Healthy,Healthy,Healthy,Healthy,,,,,
Ibraheim Campbell,Healthy,Healthy,Hamstring,Knee,Knee,Healthy,Healthy,,
Ifeadi Odenigbo,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Ifeatu Melifonwu,Thigh,,,,,,,,
Ifo Ekpre-Olomu,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,,
Ihmir Smith-Marsette,Healthy,,,,,,,,
Iman Marshall,Toe,Knee,Knee,,,,,,
Irv Smith,Healthy,Healthy,Knee,,,,,,
Isaac Asiata,Healthy,Healthy,Undisclosed,Healthy,Healthy,,,,
Isaac Nauta,Healthy,Healthy,Chest,,,,,,
Isaac Rochell,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Isaac Seumalo,Healthy,Healthy,Healthy,Healthy,Knee,Lisfranc,,,
Isaac Yiadom,Healthy,Healthy,Healthy,Healthy,,,,,
Isaiah Buggs,Healthy,Healthy,Healthy,,,,,,
Isaiah Coulter,Neck,Healthy,,,,,,,
Isaiah Ford,Knee,Healthy,Healthy,Healthy,Healthy,,,,
Isaiah Hodgins,Shoulder,Healthy,,,,,,,
Isaiah Johnson,Concussion,Healthy,Healthy,,,,,,
Isaiah McDuffie,Healthy,,,,,,,,
Isaiah McKenzie,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Isaiah Oliver,Healthy,Healthy,Healthy,Knee,,,,,
Isaiah Prince,Healthy,Healthy,Healthy,,,,,,
Isaiah Rodgers,Healthy,Healthy,,,,,,,
Isaiah Simmons,Healthy,Healthy,,,,,,,
Isaiah Wilson,Healthy,Healthy,,,,,,,
Isaiah Wynn,Achilles,Toe,Knee,Healthy,,,,,
Isaiahh Loudermilk,Healthy,,,,,,,,
Israel Mukuamu,Healthy,,,,,,,,
Ito Smith,Knee,Neck,Healthy,Healthy,,,,,
J'Mon Moore,Healthy,Healthy,Healthy,Undisclosed,,,,,
J.C. Tretter,,Designated for Return,Healthy,Knee,,Healthy,Healthy,Healthy,
J.J. Arcega-Whiteside,Healthy,Healthy,Healthy,,,,,,
J.J. Dielman,Healthy,Knee,Healthy,Healthy,Healthy,,,,
J.J. Nelson,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Groin,,
J.J. Wilcox,,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,
J.K. Dobbins,Healthy,Knee,,,,,,,
JK Scott,Healthy,Healthy,Healthy,Healthy,,,,,
Ja'Marr Chase,Healthy,,,,,,,,
Ja'Whaun Bentley,Undisclosed,Healthy,Healthy,Healthy,,,,,
Ja'Wuan James,Healthy,Healthy,Healthy,Hamstring,Healthy,Healthy,Healthy,Healthy,
JaCoby Stevens,Healthy,,,,,,,,
JaCorey Shepherd,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Jabari Price,Healthy,Shoulder,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,
Jabari Zuniga,Quadriceps,Healthy,,,,,,,
Jabril Cox,Knee,,,,,,,,
Jabrill Peppers,Healthy,Healthy,Back,Healthy,Knee,,,,
Jace Amaro,Healthy,Shoulder,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jace Sternberger,Ankle,Healthy,Healthy,,,,,,
Jachai Polite,Healthy,Healthy,Healthy,,,,,,
Jack Anderson,Hamstring,,,,,,,,
Jack Cichy,Knee,Elbow,Hamstring,,,,,,
Jack Conklin,Healthy,Healthy,Knee,Healthy,Healthy,Elbow,,,
Jack Driscoll,Knee,Pectoral,,,,,,,
Jack Mewhort,Healthy,Healthy,Knee,Knee,Healthy,Healthy,Healthy,Healthy,
Jack Tocho,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jackson Barton,Healthy,Healthy,Healthy,,,,,,
Jackson Carman,Healthy,,,,,,,,
Jacob Eason,Healthy,Healthy,,,,,,,
Jacob Harris,Knee,,,,,,,,
Jacob Martin,Healthy,Healthy,Healthy,Healthy,,,,,
Jacob Phillips,Healthy,Biceps,,,,,,,
Jacoby Brissett,Thumb,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jadeveon Clowney,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,
Jaelan Phillips,Healthy,,,,,,,,
Jaelen Strong,Healthy,Ankle,Knee,Healthy,Healthy,Healthy,Healthy,,
Jaelon Darden,Healthy,,,,,,,,
Jahlani Tavai,Shoulder,Healthy,Healthy,,,,,,
Jaire Alexander,Healthy,Healthy,Healthy,Shoulder,,,,,
Jake Bailey,Healthy,Healthy,Healthy,,,,,,
Jake Butt,Healthy,Knee,Knee,Hamstring,Healthy,,,,
Jake Elliott,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jake Fisher,Healthy,Healthy,Healthy,Back,Healthy,Healthy,Healthy,,
Jake Fromm,Healthy,Healthy,,,,,,,
Jake Funk,Hamstring,,,,,,,,
Jake Hanson,Healthy,Healthy,,,,,,,
Jake Luton,Healthy,Healthy,,,,,,,
Jake Matthews,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jake Rodgers,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,Healthy,,
Jake Rudock,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jake Ryan,Healthy,Healthy,Healthy,Knee,Hamstring,Healthy,Healthy,,
Jakeem Grant,Healthy,Healthy,Achilles,Ankle,Healthy,Healthy,,,
Jaleel Johnson,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jaleel Scott,Hamstring,Healthy,Healthy,Healthy,,,,,
Jalen Camp,Healthy,,,,,,,,
Jalen Collins,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Jalen Hurd,Back,Knee,Knee,,,,,,
Jalen Hurts,Healthy,Healthy,,,,,,,
Jalen Jelks,Undisclosed,Healthy,Undisclosed,,,,,,
Jalen Mayfield,Healthy,,,,,,,,
Jalen Mills,Healthy,Healthy,Foot,Foot,Healthy,Healthy,,,
Jalen Myrick,Healthy,Healthy,Healthy,,Healthy,,,,
Jalen Ramsey,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jalen Reagor,Thumb,Healthy,,,,,,,
Jalen Reeves-Maybin,Healthy,Neck,Healthy,Healthy,Healthy,,,,
Jalen Saunders,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,Healthy,
Jalen Tabor,Healthy,Healthy,Healthy,Healthy,Ankle,,,,
Jalston Fowler,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Jalyn Holmes,Healthy,Healthy,Healthy,Healthy,,,,,
Jamaal Williams,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jamal Adams,Healthy,Healthy,Healthy,Healthy,Shoulder,,,,
Jamal Agnew,Healthy,Knee,Healthy,Healthy,Hip,,,,
Jamar Johnson,Healthy,,,,,,,,
Jamar Taylor,,Shoulder,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,
Jamarco Jones,Ankle,Healthy,Groin,Back,,,,,
Jameis Winston,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,,
Jamel Dean,Healthy,Healthy,Healthy,,,,,,
James Bradberry,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
James Conner,Knee,Healthy,Healthy,Healthy,Healthy,,,,
James Daniels,Healthy,Healthy,Pectoral,Healthy,,,,,
James Hudson,Healthy,,,,,,,,
James Looney,Healthy,Healthy,Healthy,Healthy,,,,,
James Lynch,Healthy,Healthy,,,,,,,
James Morgan,Healthy,Healthy,,,,,,,
James O'Shaughnessy,Foot,Healthy,Healthy,Healthy,Knee,Healthy,Ankle,,
James Proche,Healthy,Healthy,,,,,,,
James Sample,Shoulder,Shoulder,Healthy,Healthy,Healthy,Healthy,Healthy,,
James Smith-Williams,Healthy,Healthy,,,,,,,
James Washington,Healthy,Healthy,Healthy,Healthy,,,,,
James White,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Hip,
James Wiggins,Knee,,,,,,,,
James Wright,Healthy,Knee,Healthy,Chest,Knee,Healthy,Healthy,Healthy,
Jamie Collins,,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Ankle
Jamien Sherwood,Achilles,,,,,,,,
Jamil Demby,Healthy,Healthy,Healthy,Undisclosed,,,,,
Jamil Douglas,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Jamin Davis,Healthy,,,,,,,,
Jamison Crowder,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Jamon Brown,Leg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Jamoris Slaughter,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Janarius Robinson,Undisclosed,,,,,,,,
Jaquan Johnson,Healthy,Healthy,Healthy,,,,,,
Jaquiski Tartt,Healthy,Healthy,Forearm,Shoulder,Healthy,Toe,Knee,,
Jared Abbrederis,Knee,Healthy,Thigh,Healthy,Healthy,Healthy,Healthy,Healthy,
Jared Goff,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jared Smith,,Undisclosed,Healthy,Undisclosed,Healthy,Healthy,Healthy,Healthy,
Jarrad Davis,Healthy,Healthy,Ankle,Healthy,Ankle,,,,
Jarran Reed,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jarrett Stidham,Healthy,Healthy,Back,,,,,,
Jarvis Harrison,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Jarvis Jones,,Designated for Return,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jarvis Landry,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,
Jashon Cornell,Achilles,Healthy,,,,,,,
Jason Huntley,Healthy,Healthy,,,,,,,
Jason Pinnock,Healthy,,,,,,,,
Jason Sanders,Healthy,Healthy,Healthy,Healthy,,,,,
Jason Spriggs,Healthy,Hamstring,Healthy,Back,Healthy,Healthy,,,
Jason Strowbridge,Healthy,Healthy,,,,,,,
Jason Verrett,Shoulder,Healthy,Knee,Knee,Achilles,Ankle,Healthy,Knee,
Jatavis Brown,Healthy,Healthy,Ankle,,Healthy,Healthy,,,
Jauan Jennings,Healthy,Healthy,,,,,,,
Javon Hargrave,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Javon Kinlaw,Healthy,Knee,,,,,,,
Javon Patterson,Knee,Healthy,Healthy,,,,,,
Javon Wims,Healthy,Healthy,Healthy,Healthy,,,,,
Javonte Williams,Healthy,,,,,,,,
Javorius Allen,Healthy,Healthy,Healthy,Healthy,Undisclosed,Healthy,Healthy,,
Jawaan Taylor,Healthy,Healthy,Healthy,,,,,,
Jawan Jamison,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jay Ajayi,Designated for Return,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,,
Jay Bromley,Healthy,Healthy,Healthy,Healthy,Arm,Healthy,Healthy,Healthy,
Jay Prosch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jay Tufele,Hand,,,,,,,,
Jaycee Horn,Foot,,,,,,,,
Jaylen Samuels,Healthy,Healthy,Healthy,Healthy,,,,,
Jaylen Twyman,Healthy,,,,,,,,
Jaylen Waddle,Healthy,,,,,,,,
Jaylen Watkins,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,
Jaylinn Hawkins,Healthy,Healthy,,,,,,,
Jaylon Ferguson,Healthy,Healthy,Healthy,,,,,,
Jaylon Johnson,Healthy,Healthy,,,,,,,
Jaylon Moore,Healthy,,,,,,,,
Jaylon Smith,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jayon Brown,Healthy,Healthy,Healthy,Elbow,Knee,,,,
Jayron Kearse,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jayson Oweh,Healthy,,,,,,,,
Jedrick Wills,Healthy,Healthy,,,,,,,
Jeff Baca,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jeff Driskel,Healthy,Hand,Healthy,Hamstring,Healthy,Clavicle,,,
Jeff Gladney,Healthy,Healthy,,,,,,,
Jeff Heuerman,Knee,Healthy,Healthy,Ribs,Healthy,Healthy,Healthy,,
Jeff Janis,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jeff Locke,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jeffery Simmons,Healthy,Healthy,Healthy,,,,,,
Jeffrey Okudah,Groin,Achilles,,,,,,,
Jehu Chesson,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jelani Jenkins,,Healthy,Healthy,Healthy,Undisclosed,Healthy,Healthy,Healthy,
Jemea Thomas,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jeoffrey Pagan,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jerald Hawkins,Shoulder,Healthy,Quadriceps,Healthy,Healthy,Healthy,,,
Jerell Adams,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jeremiah Attaochu,Healthy,Healthy,Foot,Healthy,Concussion,Healthy,Healthy,Pectoral,
Jeremiah George,Healthy,Healthy,Healthy,Healthy,Back,Healthy,Healthy,Healthy,
Jeremiah Ledbetter,Healthy,Healthy,Ankle,Healthy,Healthy,,,,
Jeremiah Owusu-Koramoah,Ankle,,,,,,,,
Jeremiah Poutasi,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,Healthy,,
Jeremy Chinn,Healthy,Healthy,,,,,,,
Jeremy Clark,Healthy,Healthy,Hamstring,Healthy,Healthy,,,,
Jeremy Gallon,Healthy,Undisclosed,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jeremy Harris,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jeremy Hill,Healthy,Healthy,Healthy,Ankle,Knee,Healthy,Healthy,Healthy,
Jeremy Langford,Healthy,Healthy,Healthy,Healthy,Undisclosed,Healthy,Healthy,,
Jeremy McNichols,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jeremy Sprinkle,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Jerick McKinnon,Back,Healthy,Healthy,Healthy,Knee,Knee,Healthy,Hamstring,
Jermaine Carter,Healthy,Healthy,Healthy,Healthy,,,,,
Jermaine Eluemunor,Healthy,Healthy,Healthy,Ankle,Healthy,,,,
Jermaine Kelly,Undisclosed,Quadriceps,Healthy,Healthy,,,,,
Jermar Jefferson,Healthy,,,,,,,,
Jerome Baker,Healthy,Healthy,Healthy,Healthy,,,,,
Jerry Jeudy,Healthy,Ankle,,,,,,,
Jerry Tillery,Healthy,Healthy,Healthy,,,,,,
Jesse James,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Jesse Williams,,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jessie Bates III,Healthy,Healthy,Healthy,Healthy,,,,,
Jevon Holland,Healthy,,,,,,,,
Jihad Ward,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,,,
Jimmie Ward,Foot,Healthy,Shoulder,Forearm,Arm,Healthy,Healthy,Healthy,
Jimmy Garoppolo,Healthy,Healthy,Healthy,Healthy,Knee,Healthy,Ankle,Healthy,
Jimmy Landes,Shoulder,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Jimmy Moreland,Foot,Healthy,Undisclosed,,,,,,
Jimmy Morrissey,Healthy,,,,,,,,
Jimmy Staten,Healthy,Healthy,Healthy,Undisclosed,Healthy,Healthy,Healthy,Healthy,
Joe Burrow,Knee,Healthy,,,,,,,
Joe Cardona,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Joe Dahl,Healthy,Leg,Healthy,Back,Groin,Healthy,,,
Joe Haeg,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,,,
Joe Jackson,Healthy,Healthy,Healthy,,,,,,
Joe Kruger,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Joe Mixon,Healthy,Healthy,Healthy,Foot,Healthy,,,,
Joe Reed,Healthy,Healthy,,,,,,,
Joe Schobert,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Joe Thuney,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Joe Tryon,Healthy,,,,,,,,
Joe Walker,Knee,Neck,Healthy,Healthy,Healthy,Healthy,,,
Joe Williams,Ankle,Healthy,Healthy,Healthy,Healthy,,,,
Joejuan Williams,Healthy,Healthy,Healthy,,,,,,
Joel Bitonio,Healthy,Ankle,Foot,Healthy,Healthy,Healthy,Healthy,Healthy,
Joel Iyiegbuniwe,Healthy,Healthy,Healthy,Healthy,,,,,
Joey Bosa,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Joey Hunt,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Joey Iosefa,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Joey Ivie,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
John Bates,Healthy,,,,,,,,
John Boyett,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
John Brown,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,Healthy,
John Cominsky,Healthy,Healthy,Healthy,,,,,,
John Franklin-Myers,Healthy,Undisclosed,Healthy,Healthy,,,,,
John Hightower,Healthy,Healthy,,,,,,,
John Jenkins,,Abdomen,Healthy,Healthy,Healthy,Healthy,Healthy,Thumb,
John Johnson,Healthy,Healthy,Shoulder,Healthy,Healthy,,,,
John Kelly,Healthy,Healthy,Healthy,Healthy,,,,,
John Miller,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Ankle,,
John Penisini,Healthy,Healthy,,,,,,,
John Reid,Healthy,Healthy,,,,,,,
John Ross,Shoulder,Healthy,Shoulder,Foot,Hamstring,,,,
John Simon,,Healthy,Healthy,Healthy,Shoulder,Healthy,Healthy,Healthy,
John Simpson,Healthy,Healthy,,,,,,,
John Theus,Healthy,Illness,Undisclosed,Healthy,Healthy,Healthy,,,
John Urschel,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
John Ursua,Healthy,Healthy,Knee,,,,,,
Johnathan Abram,Shoulder,Healthy,Shoulder,,,,,,
Johnathan Cyprien,,Healthy,Healthy,Healthy,Healthy,Knee,Undisclosed,Hamstring,
Johnathan Ford,Knee,Healthy,Abdomen,Hamstring,Healthy,,,,
Johnathan Franklin,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Johnathan Hankins,,Healthy,Pectoral,Healthy,Healthy,Healthy,Healthy,Healthy,
Johnny Manziel,Hamstring,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Johnny Townsend,Healthy,Healthy,Healthy,Healthy,,,,,
Johnthan Banks,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Jon Feliciano,Healthy,Healthy,Concussion,Calf,Healthy,Pectoral,Calf,,
Jon Halapio,Healthy,Healthy,Healthy,Healthy,Leg,Healthy,Healthy,Healthy,
Jon Runyan,Healthy,Healthy,,,,,,,
Jonah Jackson,Healthy,Healthy,,,,,,,
Jonah Williams,Shoulder,Knee,Healthy,,,,,,
Jonathan Allen,Lisfranc,Healthy,Healthy,Healthy,Healthy,,,,
Jonathan Bostic,,Healthy,Healthy,Foot,Knee,Healthy,Healthy,Healthy,Pectoral
Jonathan Bullard,Healthy,Healthy,Healthy,Hamstring,Healthy,Healthy,,,
Jonathan Cooper,,Healthy,Healthy,Healthy,Healthy,Biceps,Healthy,Healthy,
Jonathan Dowling,Back,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,
Jonathan Garvin,Healthy,Healthy,,,,,,,
