index,year,round,pick,team_x,player,page,position,season,transdate,team_y,transaction,trans_year,trans_month,end_year,tran_month,season_num
1404,2018,4,133,Green Bay Packers,J'Mon Moore,/players/jmon-moore-moorejm01,WR,2020,,,,,,,9.0,3
1404,2018,4,133,Green Bay Packers,J'Mon Moore,/players/jmon-moore-moorejm01,WR,2021,2021-08-16,Atlanta (NFL),Placed on Injured Reserve (Undisclosed),2021.0,8.0,,8.0,4
1405,2018,4,134,Arizona Cardinals,Chase Edmonds,/players/chase-edmonds-edmonch02,RB,2018,,,,,,,9.0,1
1405,2018,4,134,Arizona Cardinals,Chase Edmonds,/players/chase-edmonds-edmonch02,RB,2019,,,,,,,9.0,2
1405,2018,4,134,Arizona Cardinals,Chase Edmonds,/players/chase-edmonds-edmonch02,RB,2020,,,,,,,9.0,3
1405,2018,4,134,Arizona Cardinals,Chase Edmonds,/players/chase-edmonds-edmonch02,RB,2021,2021-11-13,Arizona (NFL),Placed on Injured Reserve (Ankle),2021.0,11.0,,11.0,4
1408,2018,4,137,Dallas Cowboys,Dalton Schultz,/players/dalton-schultz-schulda01,TE,2018,,,,,,,9.0,1
1408,2018,4,137,Dallas Cowboys,Dalton Schultz,/players/dalton-schultz-schulda01,TE,2019,,,,,,,9.0,2
1408,2018,4,137,Dallas Cowboys,Dalton Schultz,/players/dalton-schultz-schulda01,TE,2020,,,,,,,9.0,3
1408,2018,4,137,Dallas Cowboys,Dalton Schultz,/players/dalton-schultz-schulda01,TE,2021,,,,,,,9.0,4
1415,2018,5,144,Tampa Bay Buccaneers,Justin Watson,/players/justin-watson-watsoju02,WR,2018,,,,,,,9.0,1
1415,2018,5,144,Tampa Bay Buccaneers,Justin Watson,/players/justin-watson-watsoju02,WR,2019,,,,,,,9.0,2
1415,2018,5,144,Tampa Bay Buccaneers,Justin Watson,/players/justin-watson-watsoju02,WR,2020,,,,,,,9.0,3
1415,2018,5,144,Tampa Bay Buccaneers,Justin Watson,/players/justin-watson-watsoju02,WR,2021,2021-08-31,Tampa Bay (NFL),Placed on the Physically Unable to Perform List (Knee),2021.0,8.0,,8.0,4
1427,2018,5,156,Denver Broncos,Troy Fumagalli,/players/troy-fumagalli-fumagtr01,TE,2018,2018-09-01,Denver (NFL),Placed on Injured Reserve (Hernia),2018.0,9.0,,9.0,1
1427,2018,5,156,Denver Broncos,Troy Fumagalli,/players/troy-fumagalli-fumagtr01,TE,2019,,,,,,,9.0,2
1427,2018,5,156,Denver Broncos,Troy Fumagalli,/players/troy-fumagalli-fumagtr01,TE,2020,2020-09-06,Denver (NFL),Placed on Injured Reserve (Abdomen),2020.0,9.0,,9.0,3
1427,2018,5,156,Denver Broncos,Troy Fumagalli,/players/troy-fumagalli-fumagtr01,TE,2021,2021-08-18,New England (NFL),Placed on Injured Reserve (Undisclosed),2021.0,8.0,,8.0,4
1428,2018,5,157,Minnesota Vikings,Tyler Conklin,/players/tyler-conklin-conklty01,TE,2018,,,,,,,9.0,1
1428,2018,5,157,Minnesota Vikings,Tyler Conklin,/players/tyler-conklin-conklty01,TE,2019,,,,,,,9.0,2
1428,2018,5,157,Minnesota Vikings,Tyler Conklin,/players/tyler-conklin-conklty01,TE,2020,,,,,,,9.0,3
1428,2018,5,157,Minnesota Vikings,Tyler Conklin,/players/tyler-conklin-conklty01,TE,2021,,,,,,,9.0,4
1430,2018,5,159,Indianapolis Colts,Daurice Fountain,/players/daurice-fountain-fountda01,WR,2018,,,,,,,9.0,1
1430,2018,5,159,Indianapolis Colts,Daurice Fountain,/players/daurice-fountain-fountda01,WR,2019,2019-08-19,Indianapolis (NFL),Placed on Injured Reserve (Ankle),2019.0,8.0,,8.0,2
1430,2018,5,159,Indianapolis Colts,Daurice Fountain,/players/daurice-fountain-fountda01,WR,2020,,,,,,,9.0,3
1430,2018,5,159,Indianapolis Colts,Daurice Fountain,/players/daurice-fountain-fountda01,WR,2021,,,,,,,9.0,4
1433,2018,5,162,Baltimore Ravens,Jordan Lasley,/players/jordan-lasley-laslejo01,WR,2018,,,,,,2022.0,9.0,1
1433,2018,5,162,Baltimore Ravens,Jordan Lasley,/players/jordan-lasley-laslejo01,WR,2019,,,,,,2022.0,9.0,2
1433,2018,5,162,Baltimore Ravens,Jordan Lasley,/players/jordan-lasley-laslejo01,WR,2020,,,,,,2022.0,9.0,3
1433,2018,5,162,Baltimore Ravens,Jordan Lasley,/players/jordan-lasley-laslejo01,WR,2021,,,,,,2022.0,9.0,4
1436,2018,5,165,Pittsburgh Steelers,Jaylen Samuels,/players/jaylen-samuels-samueja01,RB,2018,,,,,,2022.0,9.0,1
1436,2018,5,165,Pittsburgh Steelers,Jaylen Samuels,/players/jaylen-samuels-samueja01,RB,2019,,,,,,2022.0,9.0,2
1436,2018,5,165,Pittsburgh Steelers,Jaylen Samuels,/players/jaylen-samuels-samueja01,RB,2020,,,,,,2022.0,9.0,3
1436,2018,5,165,Pittsburgh Steelers,Jaylen Samuels,/players/jaylen-samuels-samueja01,RB,2021,,,,,,2022.0,9.0,4
1440,2018,5,169,Indianapolis Colts,Jordan Wilkins,/players/jordan-wilkins-wilkijo04,RB,2018,,,,,,,9.0,1
1440,2018,5,169,Indianapolis Colts,Jordan Wilkins,/players/jordan-wilkins-wilkijo04,RB,2019,,,,,,,9.0,2
1440,2018,5,169,Indianapolis Colts,Jordan Wilkins,/players/jordan-wilkins-wilkijo04,RB,2020,,,,,,,9.0,3
1440,2018,5,169,Indianapolis Colts,Jordan Wilkins,/players/jordan-wilkins-wilkijo04,RB,2021,,,,,,,9.0,4
1442,2018,5,171,Dallas Cowboys,Mike White,/players/mike-white-whitemi07,QB,2018,,,,,,,9.0,1
1442,2018,5,171,Dallas Cowboys,Mike White,/players/mike-white-whitemi07,QB,2019,,,,,,,9.0,2
1442,2018,5,171,Dallas Cowboys,Mike White,/players/mike-white-whitemi07,QB,2020,,,,,,,9.0,3
1442,2018,5,171,Dallas Cowboys,Mike White,/players/mike-white-whitemi07,QB,2021,,,,,,,9.0,4
1445,2018,5,174,Green Bay Packers,Marquez Valdes-Scantling,/players/marquez-valdesscantling-valdema01,WR,2018,,,,,,,9.0,1
1445,2018,5,174,Green Bay Packers,Marquez Valdes-Scantling,/players/marquez-valdesscantling-valdema01,WR,2019,,,,,,,9.0,2
1445,2018,5,174,Green Bay Packers,Marquez Valdes-Scantling,/players/marquez-valdesscantling-valdema01,WR,2020,,,,,,,9.0,3
1445,2018,5,174,Green Bay Packers,Marquez Valdes-Scantling,/players/marquez-valdesscantling-valdema01,WR,2021,2021-10-02,Green Bay (NFL),Placed on Injured Reserve (Hamstring),2021.0,10.0,,10.0,4
1446,2018,6,175,Cleveland Browns,Damion Ratley,/players/damion-ratley-ratleda01,WR,2018,,,,,,2021.0,9.0,1
1446,2018,6,175,Cleveland Browns,Damion Ratley,/players/damion-ratley-ratleda01,WR,2019,,,,,,2021.0,9.0,2
1446,2018,6,175,Cleveland Browns,Damion Ratley,/players/damion-ratley-ratleda01,WR,2020,,,,,,2021.0,9.0,3
1446,2018,6,175,Cleveland Browns,Damion Ratley,/players/damion-ratley-ratleda01,WR,2021,,,,,,2021.0,9.0,4
