index,year,round,pick,team_x,player,page,position,season,transdate,team_y,transaction,trans_year,trans_month,tran_month,season_num
8,2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2015,2015-09-06,NY Jets (NFL),Placed on Injured Reserve (Designated for Return) (Wrist),2015.0,9.0,9.0,3
8,2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2016,2016-09-04,NY Jets (NFL),Placed on Injured Reserve (Hamstring),2016.0,9.0,9.0,4
8,2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2017,,,,,,9.0,5
8,2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2018,,,,,,9.0,6
8,2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2019,,,,,,9.0,7
8,2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2020,,,,,,9.0,8
8,2013,1,9,New York Jets,Dee Milliner,/players/dee-milliner-millide01,DB,2021,,,,,,9.0,9
9,2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2014,,,,,,9.0,2
9,2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2015,,,,,,9.0,3
9,2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2016,2016-09-22,Tennessee (NFL),Placed on Injured Reserve (Finger),2016.0,9.0,9.0,4
9,2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2017,,,,,,9.0,5
9,2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2018,,,,,,9.0,6
9,2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2019,,,,,,9.0,7
9,2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2020,,,,,,9.0,8
9,2013,1,10,Tennessee Titans,Chance Warmack,/players/chance-warmack-warmach01,OG,2021,,,,,,9.0,9
10,2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OG,2014,,,,,,9.0,2
10,2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OG,2015,,,,,,9.0,3
10,2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OG,2016,,,,,,9.0,4
10,2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OG,2017,2017-11-27,NY Giants (NFL),Placed on Injured Reserve (Toe),2017.0,11.0,11.0,5
10,2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OG,2018,,,,,,9.0,6
10,2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OG,2019,,,,,,9.0,7
10,2013,1,11,San Diego Chargers,D.J. Fluker,/players/dj-fluker-flukedj01,OG,2020,,,,,,9.0,8
