player|position|injury|practice_status|game_status|team|gamedate|year
Lawrence Vickers |RB|Shoulder|Limited Participation in Practice|Questionable|Lions|THURSDAY, NOVEMBER 19TH|2009
Steve Heiden |TE||Did Not Participate In Practice||Lions|THURSDAY, NOVEMBER 19TH|2009
Jamal Lewis |RB|Ankle|Limited Participation in Practice|Questionable|Lions|THURSDAY, NOVEMBER 19TH|2009
Robert Royal |TE|Finger, Wrist|Full Participation in Practice|Probable|Lions|THURSDAY, NOVEMBER 19TH|2009
Jim Sorgi |QB|right Shoulder|Did Not Participate In Practice|Questionable|Colts|THURSDAY, NOVEMBER 19TH|2009
Gijon Robinson |TE|Concussion|Did Not Participate In Practice|Questionable|Colts|THURSDAY, NOVEMBER 19TH|2009
Pierre Garcon |WR|Ankle|Full Participation in Practice|Questionable|Colts|THURSDAY, NOVEMBER 19TH|2009
Hank Baskett |WR|Illness|Full Participation in Practice|Probable|Colts|THURSDAY, NOVEMBER 19TH|2009
Anthony Gonzalez |WR|Knee|Did Not Participate In Practice|Out|Colts|THURSDAY, NOVEMBER 19TH|2009
Austin Collie |WR||Did Not Participate In Practice||Colts|THURSDAY, NOVEMBER 19TH|2009
Jim Sorgi |QB|right Shoulder|Did Not Participate In Practice|Questionable|Ravens|THURSDAY, NOVEMBER 19TH|2009
Gijon Robinson |TE|Concussion|Did Not Participate In Practice|Questionable|Ravens|THURSDAY, NOVEMBER 19TH|2009
Pierre Garcon |WR|Ankle|Full Participation in Practice|Questionable|Ravens|THURSDAY, NOVEMBER 19TH|2009
Hank Baskett |WR|Illness|Full Participation in Practice|Probable|Ravens|THURSDAY, NOVEMBER 19TH|2009
Anthony Gonzalez |WR|Knee|Did Not Participate In Practice|Out|Ravens|THURSDAY, NOVEMBER 19TH|2009
Austin Collie |WR||Did Not Participate In Practice||Ravens|THURSDAY, NOVEMBER 19TH|2009
Julius Jones |RB|Chest||Out|Seahawks|THURSDAY, NOVEMBER 19TH|2009
Julius Jones |RB|Chest||Out|Vikings|THURSDAY, NOVEMBER 19TH|2009
Justin Gage |WR|Back|Did Not Participate In Practice|Out|Titans|THURSDAY, NOVEMBER 19TH|2009
Justin Gage |WR|Back|Did Not Participate In Practice|Out|Texans|THURSDAY, NOVEMBER 19TH|2009
Carey Davis |RB|Hamstring|Full Participation in Practice|Questionable|Steelers|SUNDAY, NOVEMBER 22ND|2009
Mike Wallace |WR||Did Not Participate In Practice||Steelers|SUNDAY, NOVEMBER 22ND|2009
Hines Ward |WR||Did Not Participate In Practice||Steelers|SUNDAY, NOVEMBER 22ND|2009
Carey Davis |RB|Hamstring|Full Participation in Practice|Questionable|Chiefs|SUNDAY, NOVEMBER 22ND|2009
Mike Wallace |WR||Did Not Participate In Practice||Chiefs|SUNDAY, NOVEMBER 22ND|2009
Hines Ward |WR||Did Not Participate In Practice||Chiefs|SUNDAY, NOVEMBER 22ND|2009
Jerious Norwood |RB|Hip|Limited Participation in Practice|Questionable|Falcons|SUNDAY, NOVEMBER 22ND|2009
Roddy White |WR|Knee|Limited Participation in Practice|Questionable|Falcons|SUNDAY, NOVEMBER 22ND|2009
Brian Finneran |WR|Knee|Did Not Participate In Practice|Out|Falcons|SUNDAY, NOVEMBER 22ND|2009
Michael Turner |RB|Ankle|Did Not Participate In Practice|Doubtful|Falcons|SUNDAY, NOVEMBER 22ND|2009
Jerious Norwood |RB|Hip|Limited Participation in Practice|Questionable|Giants|SUNDAY, NOVEMBER 22ND|2009
Roddy White |WR|Knee|Limited Participation in Practice|Questionable|Giants|SUNDAY, NOVEMBER 22ND|2009
Brian Finneran |WR|Knee|Did Not Participate In Practice|Out|Giants|SUNDAY, NOVEMBER 22ND|2009
Michael Turner |RB|Ankle|Did Not Participate In Practice|Doubtful|Giants|SUNDAY, NOVEMBER 22ND|2009
Ladell Betts |RB|Ankle|Full Participation in Practice|Probable|Redskins|SUNDAY, NOVEMBER 22ND|2009
Clinton Portis |RB|Concussion||Out|Redskins|SUNDAY, NOVEMBER 22ND|2009
Chris Cooley |TE|Ankle||Out|Redskins|SUNDAY, NOVEMBER 22ND|2009
Eddie Williams |RB|Ankle||Out|Redskins|SUNDAY, NOVEMBER 22ND|2009
Ladell Betts |RB|Ankle|Full Participation in Practice|Probable|Cowboys|SUNDAY, NOVEMBER 22ND|2009
Clinton Portis |RB|Concussion||Out|Cowboys|SUNDAY, NOVEMBER 22ND|2009
Chris Cooley |TE|Ankle||Out|Cowboys|SUNDAY, NOVEMBER 22ND|2009
Eddie Williams |RB|Ankle||Out|Cowboys|SUNDAY, NOVEMBER 22ND|2009
Antonio Gates |TE|Foot|Full Participation in Practice|Probable|Chargers|SUNDAY, NOVEMBER 22ND|2009
Antonio Gates |TE|Foot|Full Participation in Practice|Probable|Broncos|SUNDAY, NOVEMBER 22ND|2009
Brad Smith |WR|Quadricep|Full Participation in Practice|Probable|Jets|SUNDAY, NOVEMBER 22ND|2009
Brad Smith |WR|Quadricep|Full Participation in Practice|Probable|Patriots|SUNDAY, NOVEMBER 22ND|2009
Reggie Bush |RB|Knee|Did Not Participate In Practice|Questionable|Saints|SUNDAY, NOVEMBER 22ND|2009
David Thomas |TE|Knee|Full Participation in Practice|Probable|Saints|SUNDAY, NOVEMBER 22ND|2009
Lance Moore |WR|Ankle|Did Not Participate In Practice|Out|Saints|SUNDAY, NOVEMBER 22ND|2009
Reggie Bush |RB|Knee|Did Not Participate In Practice|Questionable|Buccaneers|SUNDAY, NOVEMBER 22ND|2009
David Thomas |TE|Knee|Full Participation in Practice|Probable|Buccaneers|SUNDAY, NOVEMBER 22ND|2009
Lance Moore |WR|Ankle|Did Not Participate In Practice|Out|Buccaneers|SUNDAY, NOVEMBER 22ND|2009
Roscoe Parrish |WR||Did Not Participate In Practice||Bills|SUNDAY, NOVEMBER 22ND|2009
Derek Fine |TE|Knee|Did Not Participate In Practice|Out|Bills|SUNDAY, NOVEMBER 22ND|2009
James Hardy |WR|Groin|Limited Participation in Practice|Questionable|Bills|SUNDAY, NOVEMBER 22ND|2009
Justin Jenkins |WR||Did Not Participate In Practice||Bills|SUNDAY, NOVEMBER 22ND|2009
Roscoe Parrish |WR||Did Not Participate In Practice||Jaguars|SUNDAY, NOVEMBER 22ND|2009
Derek Fine |TE|Knee|Did Not Participate In Practice|Out|Jaguars|SUNDAY, NOVEMBER 22ND|2009
James Hardy |WR|Groin|Limited Participation in Practice|Questionable|Jaguars|SUNDAY, NOVEMBER 22ND|2009
Justin Jenkins |WR||Did Not Participate In Practice||Jaguars|SUNDAY, NOVEMBER 22ND|2009
Michael Crabtree |WR|Knee|Full Participation in Practice|Probable|Niners|SUNDAY, NOVEMBER 22ND|2009
Isaac Bruce |WR|Ankle, Elbow|Full Participation in Practice|Probable|Niners|SUNDAY, NOVEMBER 22ND|2009
Michael Robinson |RB|Not Injury Related|Did Not Participate In Practice|Probable|Niners|SUNDAY, NOVEMBER 22ND|2009
Glen Coffee |RB|Concussion|Full Participation in Practice|Probable|Niners|SUNDAY, NOVEMBER 22ND|2009
Michael Crabtree |WR|Knee|Full Participation in Practice|Probable|Packers|SUNDAY, NOVEMBER 22ND|2009
Isaac Bruce |WR|Ankle, Elbow|Full Participation in Practice|Probable|Packers|SUNDAY, NOVEMBER 22ND|2009
Michael Robinson |RB|Not Injury Related|Did Not Participate In Practice|Probable|Packers|SUNDAY, NOVEMBER 22ND|2009
Glen Coffee |RB|Concussion|Full Participation in Practice|Probable|Packers|SUNDAY, NOVEMBER 22ND|2009
Sean Morey |WR|Head|Full Participation in Practice|Questionable|Cardinals|SUNDAY, NOVEMBER 22ND|2009
Ben Patrick |TE|Knee|Full Participation in Practice|Questionable|Cardinals|SUNDAY, NOVEMBER 22ND|2009
Steve Breaston |WR|Knee|Limited Participation in Practice|Probable|Cardinals|SUNDAY, NOVEMBER 22ND|2009
Sean Morey |WR|Head|Full Participation in Practice|Questionable|Rams|SUNDAY, NOVEMBER 22ND|2009
Ben Patrick |TE|Knee|Full Participation in Practice|Questionable|Rams|SUNDAY, NOVEMBER 22ND|2009
Steve Breaston |WR|Knee|Limited Participation in Practice|Probable|Rams|SUNDAY, NOVEMBER 22ND|2009
Jeremy Maclin |WR|Foot|Full Participation in Practice|Probable|Eagles|SUNDAY, NOVEMBER 22ND|2009
Kevin Curtis |WR|Knee||Out|Eagles|SUNDAY, NOVEMBER 22ND|2009
Brian Westbrook |RB|Concussion||Out|Eagles|SUNDAY, NOVEMBER 22ND|2009
Leonard Weaver |RB|Ankle|Full Participation in Practice|Probable|Eagles|SUNDAY, NOVEMBER 22ND|2009
Jeremy Maclin |WR|Foot|Full Participation in Practice|Probable|Bears|SUNDAY, NOVEMBER 22ND|2009
Kevin Curtis |WR|Knee||Out|Bears|SUNDAY, NOVEMBER 22ND|2009
Brian Westbrook |RB|Concussion||Out|Bears|SUNDAY, NOVEMBER 22ND|2009
Leonard Weaver |RB|Ankle|Full Participation in Practice|Probable|Bears|SUNDAY, NOVEMBER 22ND|2009
Jeremi Johnson |RB|Chest|Full Participation in Practice|Probable|Bengals|SUNDAY, NOVEMBER 22ND|2009
Laveranues Coles |WR|Head|Full Participation in Practice|Probable|Bengals|SUNDAY, NOVEMBER 22ND|2009
Cedric Benson |RB|Hip|Did Not Participate In Practice|Doubtful|Bengals|SUNDAY, NOVEMBER 22ND|2009
Jeremi Johnson |RB|Chest|Full Participation in Practice|Probable|Raiders|SUNDAY, NOVEMBER 22ND|2009
Laveranues Coles |WR|Head|Full Participation in Practice|Probable|Raiders|SUNDAY, NOVEMBER 22ND|2009
Cedric Benson |RB|Hip|Did Not Participate In Practice|Doubtful|Raiders|SUNDAY, NOVEMBER 22ND|2009
Josh Cribbs |WR|Neck|Limited Participation in Practice|Questionable|Browns|SUNDAY, NOVEMBER 22ND|2009
Chansi Stuckey |WR|Calf|Full Participation in Practice|Probable|Browns|SUNDAY, NOVEMBER 22ND|2009
Lawrence Vickers |RB|Shoulder|Limited Participation in Practice|Questionable|Browns|SUNDAY, NOVEMBER 22ND|2009
Steve Heiden |TE||Did Not Participate In Practice||Browns|SUNDAY, NOVEMBER 22ND|2009
Jamal Lewis |RB|Ankle|Limited Participation in Practice|Questionable|Browns|SUNDAY, NOVEMBER 22ND|2009
Robert Royal |TE|Finger, Wrist|Full Participation in Practice|Probable|Browns|SUNDAY, NOVEMBER 22ND|2009
Josh Cribbs |WR|Neck|Limited Participation in Practice|Questionable|Lions|SUNDAY, NOVEMBER 22ND|2009
Chansi Stuckey |WR|Calf|Full Participation in Practice|Probable|Lions|SUNDAY, NOVEMBER 22ND|2009
Lawrence Vickers |RB|Shoulder|Limited Participation in Practice|Questionable|Lions|SUNDAY, NOVEMBER 22ND|2009
Steve Heiden |TE||Did Not Participate In Practice||Lions|SUNDAY, NOVEMBER 22ND|2009
Jamal Lewis |RB|Ankle|Limited Participation in Practice|Questionable|Lions|SUNDAY, NOVEMBER 22ND|2009
Robert Royal |TE|Finger, Wrist|Full Participation in Practice|Probable|Lions|SUNDAY, NOVEMBER 22ND|2009
Jim Sorgi |QB|right Shoulder|Did Not Participate In Practice|Questionable|Colts|SUNDAY, NOVEMBER 22ND|2009
Gijon Robinson |TE|Concussion|Did Not Participate In Practice|Questionable|Colts|SUNDAY, NOVEMBER 22ND|2009
Pierre Garcon |WR|Ankle|Full Participation in Practice|Questionable|Colts|SUNDAY, NOVEMBER 22ND|2009
Hank Baskett |WR|Illness|Full Participation in Practice|Probable|Colts|SUNDAY, NOVEMBER 22ND|2009
Anthony Gonzalez |WR|Knee|Did Not Participate In Practice|Out|Colts|SUNDAY, NOVEMBER 22ND|2009
Austin Collie |WR||Did Not Participate In Practice||Colts|SUNDAY, NOVEMBER 22ND|2009
Jim Sorgi |QB|right Shoulder|Did Not Participate In Practice|Questionable|Ravens|SUNDAY, NOVEMBER 22ND|2009
Gijon Robinson |TE|Concussion|Did Not Participate In Practice|Questionable|Ravens|SUNDAY, NOVEMBER 22ND|2009
Pierre Garcon |WR|Ankle|Full Participation in Practice|Questionable|Ravens|SUNDAY, NOVEMBER 22ND|2009
Hank Baskett |WR|Illness|Full Participation in Practice|Probable|Ravens|SUNDAY, NOVEMBER 22ND|2009
Anthony Gonzalez |WR|Knee|Did Not Participate In Practice|Out|Ravens|SUNDAY, NOVEMBER 22ND|2009
Austin Collie |WR||Did Not Participate In Practice||Ravens|SUNDAY, NOVEMBER 22ND|2009
Julius Jones |RB|Chest||Out|Seahawks|SUNDAY, NOVEMBER 22ND|2009
Julius Jones |RB|Chest||Out|Vikings|SUNDAY, NOVEMBER 22ND|2009
Justin Gage |WR|Back|Did Not Participate In Practice|Out|Titans|SUNDAY, NOVEMBER 22ND|2009
Justin Gage |WR|Back|Did Not Participate In Practice|Out|Texans|SUNDAY, NOVEMBER 22ND|2009
Justin Gage |WR|Back|Did Not Participate In Practice|Out|Titans|MONDAY, NOVEMBER 23RD|2009
Justin Gage |WR|Back|Did Not Participate In Practice|Out|Texans|MONDAY, NOVEMBER 23RD|2009
Ahman Green |RB|Groin|Did Not Participate In Practice|Doubtful|Packers|THURSDAY, NOVEMBER 26TH|2009
Ryan Grant |RB|Neck|Full Participation in Practice|Probable|Packers|THURSDAY, NOVEMBER 26TH|2009
John Kuhn |RB|Hand|Full Participation in Practice|Probable|Packers|THURSDAY, NOVEMBER 26TH|2009
Ahman Green |RB|Groin|Did Not Participate In Practice|Doubtful|Lions|THURSDAY, NOVEMBER 26TH|2009
Ryan Grant |RB|Neck|Full Participation in Practice|Probable|Lions|THURSDAY, NOVEMBER 26TH|2009
John Kuhn |RB|Hand|Full Participation in Practice|Probable|Lions|THURSDAY, NOVEMBER 26TH|2009
Nick Miller |WR|Shin|Did Not Participate In Practice|Out|Raiders|THURSDAY, NOVEMBER 26TH|2009
Javon Walker |WR|Hamstring|Limited Participation in Practice|Questionable|Raiders|THURSDAY, NOVEMBER 26TH|2009
Nick Miller |WR|Shin|Did Not Participate In Practice|Out|Cowboys|THURSDAY, NOVEMBER 26TH|2009
Javon Walker |WR|Hamstring|Limited Participation in Practice|Questionable|Cowboys|THURSDAY, NOVEMBER 26TH|2009
Eli Manning |QB|Foot|Full Participation in Practice|Probable|Giants|THURSDAY, NOVEMBER 26TH|2009
Ahmad Bradshaw |RB|Ankles, Foot|Did Not Participate In Practice|Out|Giants|THURSDAY, NOVEMBER 26TH|2009
Eli Manning |QB|Foot|Full Participation in Practice|Probable|Broncos|THURSDAY, NOVEMBER 26TH|2009
Ahmad Bradshaw |RB|Ankles, Foot|Did Not Participate In Practice|Out|Broncos|THURSDAY, NOVEMBER 26TH|2009
Kurt Warner |QB|Head|Full Participation in Practice|Questionable|Cardinals|THURSDAY, NOVEMBER 26TH|2009
Steve Breaston |WR|Knee|Full Participation in Practice|Probable|Cardinals|THURSDAY, NOVEMBER 26TH|2009
Kurt Warner |QB|Head|Full Participation in Practice|Questionable|Titans|THURSDAY, NOVEMBER 26TH|2009
Steve Breaston |WR|Knee|Full Participation in Practice|Probable|Titans|THURSDAY, NOVEMBER 26TH|2009
Jim Sorgi |QB|right Shoulder|Limited Participation in Practice|Questionable|Colts|THURSDAY, NOVEMBER 26TH|2009
Jacob Tamme |TE|Quadricep|Full Participation in Practice|Probable|Colts|THURSDAY, NOVEMBER 26TH|2009
Joseph Addai |RB|Knee|Full Participation in Practice|Probable|Colts|THURSDAY, NOVEMBER 26TH|2009
Gijon Robinson |TE|Concussion|Full Participation in Practice|Questionable|Colts|THURSDAY, NOVEMBER 26TH|2009
Pierre Garcon |WR|Ankle|Full Participation in Practice|Probable|Colts|THURSDAY, NOVEMBER 26TH|2009
Peyton Manning |QB|Glute|Full Participation in Practice|Probable|Colts|THURSDAY, NOVEMBER 26TH|2009
Tom Santi |TE|Hip|Full Participation in Practice|Probable|Colts|THURSDAY, NOVEMBER 26TH|2009
Anthony Gonzalez |WR|Knee|Did Not Participate In Practice|Out|Colts|THURSDAY, NOVEMBER 26TH|2009
Reggie Wayne |WR|Foot|Full Participation in Practice|Probable|Colts|THURSDAY, NOVEMBER 26TH|2009
Donald Brown |RB|Shoulder|Full Participation in Practice|Probable|Colts|THURSDAY, NOVEMBER 26TH|2009
Jim Sorgi |QB|right Shoulder|Limited Participation in Practice|Questionable|Texans|THURSDAY, NOVEMBER 26TH|2009
Jacob Tamme |TE|Quadricep|Full Participation in Practice|Probable|Texans|THURSDAY, NOVEMBER 26TH|2009
Joseph Addai |RB|Knee|Full Participation in Practice|Probable|Texans|THURSDAY, NOVEMBER 26TH|2009
Gijon Robinson |TE|Concussion|Full Participation in Practice|Questionable|Texans|THURSDAY, NOVEMBER 26TH|2009
Pierre Garcon |WR|Ankle|Full Participation in Practice|Probable|Texans|THURSDAY, NOVEMBER 26TH|2009
Peyton Manning |QB|Glute|Full Participation in Practice|Probable|Texans|THURSDAY, NOVEMBER 26TH|2009
Tom Santi |TE|Hip|Full Participation in Practice|Probable|Texans|THURSDAY, NOVEMBER 26TH|2009
Anthony Gonzalez |WR|Knee|Did Not Participate In Practice|Out|Texans|THURSDAY, NOVEMBER 26TH|2009
Reggie Wayne |WR|Foot|Full Participation in Practice|Probable|Texans|THURSDAY, NOVEMBER 26TH|2009
Donald Brown |RB|Shoulder|Full Participation in Practice|Probable|Texans|THURSDAY, NOVEMBER 26TH|2009
Jonathan Stewart |RB|Achilles|Full Participation in Practice|Questionable|Panthers|THURSDAY, NOVEMBER 26TH|2009
Brad Hoover |RB|Ankle|Full Participation in Practice|Questionable|Panthers|THURSDAY, NOVEMBER 26TH|2009
Jonathan Stewart |RB|Achilles|Full Participation in Practice|Questionable|Jets|THURSDAY, NOVEMBER 26TH|2009
Brad Hoover |RB|Ankle|Full Participation in Practice|Questionable|Jets|THURSDAY, NOVEMBER 26TH|2009
Kellen Davis |TE|Ankle|Full Participation in Practice|Probable|Bears|THURSDAY, NOVEMBER 26TH|2009
Desmond Clark |TE|Neck|Did Not Participate In Practice|Doubtful|Bears|THURSDAY, NOVEMBER 26TH|2009
Kellen Davis |TE|Ankle|Full Participation in Practice|Probable|Vikings|THURSDAY, NOVEMBER 26TH|2009
Desmond Clark |TE|Neck|Did Not Participate In Practice|Doubtful|Vikings|THURSDAY, NOVEMBER 26TH|2009
Chansi Stuckey |WR|Calf|Full Participation in Practice|Probable|Browns|THURSDAY, NOVEMBER 26TH|2009
Michael Gaines |TE|Back|Full Participation in Practice|Probable|Browns|THURSDAY, NOVEMBER 26TH|2009
Lawrence Vickers |RB|Hamstring|Limited Participation in Practice|Questionable|Browns|THURSDAY, NOVEMBER 26TH|2009
Greg Estandia |TE|Shoulder|Limited Participation in Practice|Questionable|Browns|THURSDAY, NOVEMBER 26TH|2009
Jamal Lewis |RB|Ankle|Limited Participation in Practice|Probable|Browns|THURSDAY, NOVEMBER 26TH|2009
Robert Royal |TE|Thigh, Finger|Limited Participation in Practice|Questionable|Browns|THURSDAY, NOVEMBER 26TH|2009
Chansi Stuckey |WR|Calf|Full Participation in Practice|Probable|Bengals|THURSDAY, NOVEMBER 26TH|2009
Michael Gaines |TE|Back|Full Participation in Practice|Probable|Bengals|THURSDAY, NOVEMBER 26TH|2009
Lawrence Vickers |RB|Hamstring|Limited Participation in Practice|Questionable|Bengals|THURSDAY, NOVEMBER 26TH|2009
Greg Estandia |TE|Shoulder|Limited Participation in Practice|Questionable|Bengals|THURSDAY, NOVEMBER 26TH|2009
Jamal Lewis |RB|Ankle|Limited Participation in Practice|Probable|Bengals|THURSDAY, NOVEMBER 26TH|2009
Robert Royal |TE|Thigh, Finger|Limited Participation in Practice|Questionable|Bengals|THURSDAY, NOVEMBER 26TH|2009
Ricky Williams |RB|Chest|Full Participation in Practice|Probable|Dolphins|THURSDAY, NOVEMBER 26TH|2009
Ricky Williams |RB|Chest|Full Participation in Practice|Probable|Bills|THURSDAY, NOVEMBER 26TH|2009
Antonio Bryant |WR|Knee|Full Participation in Practice|Probable|Buccaneers|THURSDAY, NOVEMBER 26TH|2009
Kellen Winslow |TE|Knee|Full Participation in Practice|Probable|Buccaneers|THURSDAY, NOVEMBER 26TH|2009
Antonio Bryant |WR|Knee|Full Participation in Practice|Probable|Falcons|THURSDAY, NOVEMBER 26TH|2009
Kellen Winslow |TE|Knee|Full Participation in Practice|Probable|Falcons|THURSDAY, NOVEMBER 26TH|2009
Kolby Smith |RB|Ankle|Full Participation in Practice|Probable|Chiefs|THURSDAY, NOVEMBER 26TH|2009
Dantrell Savage |RB|Ankle|Did Not Participate In Practice|Out|Chiefs|THURSDAY, NOVEMBER 26TH|2009
Kolby Smith |RB|Ankle|Full Participation in Practice|Probable|Chargers|THURSDAY, NOVEMBER 26TH|2009
Dantrell Savage |RB|Ankle|Did Not Participate In Practice|Out|Chargers|THURSDAY, NOVEMBER 26TH|2009
Ben Roethlisberger |QB|Head|Full Participation in Practice|Questionable|Steelers|THURSDAY, NOVEMBER 26TH|2009
Willie Parker |RB|Hip|Full Participation in Practice|Probable|Steelers|THURSDAY, NOVEMBER 26TH|2009
Charlie Batch |QB|left Wrist|Did Not Participate In Practice|Out|Steelers|THURSDAY, NOVEMBER 26TH|2009
Hines Ward |WR||Did Not Participate In Practice||Steelers|THURSDAY, NOVEMBER 26TH|2009
Ben Roethlisberger |QB|Head|Full Participation in Practice|Questionable|Ravens|THURSDAY, NOVEMBER 26TH|2009
Willie Parker |RB|Hip|Full Participation in Practice|Probable|Ravens|THURSDAY, NOVEMBER 26TH|2009
Charlie Batch |QB|left Wrist|Did Not Participate In Practice|Out|Ravens|THURSDAY, NOVEMBER 26TH|2009
Hines Ward |WR||Did Not Participate In Practice||Ravens|THURSDAY, NOVEMBER 26TH|2009
Mike Sims-Walker |WR|Knee|Full Participation in Practice|Probable|Jaguars|THURSDAY, NOVEMBER 26TH|2009
Maurice Jones-Drew |RB|Knee|Full Participation in Practice|Probable|Jaguars|THURSDAY, NOVEMBER 26TH|2009
Mike Sims-Walker |WR|Knee|Full Participation in Practice|Probable|Niners|THURSDAY, NOVEMBER 26TH|2009
Maurice Jones-Drew |RB|Knee|Full Participation in Practice|Probable|Niners|THURSDAY, NOVEMBER 26TH|2009
Julius Jones |RB|Chest|Limited Participation in Practice|Questionable|Seahawks|THURSDAY, NOVEMBER 26TH|2009
Julius Jones |RB|Chest|Limited Participation in Practice|Questionable|Rams|THURSDAY, NOVEMBER 26TH|2009
Clinton Portis |RB|Concussion||Out|Redskins|THURSDAY, NOVEMBER 26TH|2009
Mike Sellers |RB|Hamstring|Limited Participation in Practice|Questionable|Redskins|THURSDAY, NOVEMBER 26TH|2009
Chris Cooley |TE|Ankle||Out|Redskins|THURSDAY, NOVEMBER 26TH|2009
Todd Yoder |TE|Foot|Limited Participation in Practice|Questionable|Redskins|THURSDAY, NOVEMBER 26TH|2009
Clinton Portis |RB|Concussion||Out|Eagles|THURSDAY, NOVEMBER 26TH|2009
Mike Sellers |RB|Hamstring|Limited Participation in Practice|Questionable|Eagles|THURSDAY, NOVEMBER 26TH|2009
Chris Cooley |TE|Ankle||Out|Eagles|THURSDAY, NOVEMBER 26TH|2009
Todd Yoder |TE|Foot|Limited Participation in Practice|Questionable|Eagles|THURSDAY, NOVEMBER 26TH|2009
Fred Taylor |RB|Ankle|Did Not Participate In Practice|Out|Patriots|THURSDAY, NOVEMBER 26TH|2009
Benjamin Watson |TE|Knee|Full Participation in Practice|Probable|Patriots|THURSDAY, NOVEMBER 26TH|2009
Tom Brady |QB|right Shoulder|Full Participation in Practice|Probable|Patriots|THURSDAY, NOVEMBER 26TH|2009
Sam Aiken |WR|Hip|Limited Participation in Practice|Questionable|Patriots|THURSDAY, NOVEMBER 26TH|2009
Julian Edelman |WR|Forearm|Limited Participation in Practice|Questionable|Patriots|THURSDAY, NOVEMBER 26TH|2009
Sammy Morris |RB|Knee|Limited Participation in Practice|Questionable|Patriots|THURSDAY, NOVEMBER 26TH|2009
Chris Baker |TE|Shoulder|Limited Participation in Practice|Questionable|Patriots|THURSDAY, NOVEMBER 26TH|2009
Fred Taylor |RB|Ankle|Did Not Participate In Practice|Out|Saints|THURSDAY, NOVEMBER 26TH|2009
Benjamin Watson |TE|Knee|Full Participation in Practice|Probable|Saints|THURSDAY, NOVEMBER 26TH|2009
Tom Brady |QB|right Shoulder|Full Participation in Practice|Probable|Saints|THURSDAY, NOVEMBER 26TH|2009
Sam Aiken |WR|Hip|Limited Participation in Practice|Questionable|Saints|THURSDAY, NOVEMBER 26TH|2009
Julian Edelman |WR|Forearm|Limited Participation in Practice|Questionable|Saints|THURSDAY, NOVEMBER 26TH|2009
Sammy Morris |RB|Knee|Limited Participation in Practice|Questionable|Saints|THURSDAY, NOVEMBER 26TH|2009
Chris Baker |TE|Shoulder|Limited Participation in Practice|Questionable|Saints|THURSDAY, NOVEMBER 26TH|2009
Kurt Warner |QB|Head|Full Participation in Practice|Questionable|Cardinals|SUNDAY, NOVEMBER 29TH|2009
Steve Breaston |WR|Knee|Full Participation in Practice|Probable|Cardinals|SUNDAY, NOVEMBER 29TH|2009
Kurt Warner |QB|Head|Full Participation in Practice|Questionable|Titans|SUNDAY, NOVEMBER 29TH|2009
Steve Breaston |WR|Knee|Full Participation in Practice|Probable|Titans|SUNDAY, NOVEMBER 29TH|2009
Jim Sorgi |QB|right Shoulder|Limited Participation in Practice|Questionable|Colts|SUNDAY, NOVEMBER 29TH|2009
Jacob Tamme |TE|Quadricep|Full Participation in Practice|Probable|Colts|SUNDAY, NOVEMBER 29TH|2009
Joseph Addai |RB|Knee|Full Participation in Practice|Probable|Colts|SUNDAY, NOVEMBER 29TH|2009
Gijon Robinson |TE|Concussion|Full Participation in Practice|Questionable|Colts|SUNDAY, NOVEMBER 29TH|2009
Pierre Garcon |WR|Ankle|Full Participation in Practice|Probable|Colts|SUNDAY, NOVEMBER 29TH|2009
Peyton Manning |QB|Glute|Full Participation in Practice|Probable|Colts|SUNDAY, NOVEMBER 29TH|2009
Tom Santi |TE|Hip|Full Participation in Practice|Probable|Colts|SUNDAY, NOVEMBER 29TH|2009
Anthony Gonzalez |WR|Knee|Did Not Participate In Practice|Out|Colts|SUNDAY, NOVEMBER 29TH|2009
Reggie Wayne |WR|Foot|Full Participation in Practice|Probable|Colts|SUNDAY, NOVEMBER 29TH|2009
Donald Brown |RB|Shoulder|Full Participation in Practice|Probable|Colts|SUNDAY, NOVEMBER 29TH|2009
Jim Sorgi |QB|right Shoulder|Limited Participation in Practice|Questionable|Texans|SUNDAY, NOVEMBER 29TH|2009
Jacob Tamme |TE|Quadricep|Full Participation in Practice|Probable|Texans|SUNDAY, NOVEMBER 29TH|2009
Joseph Addai |RB|Knee|Full Participation in Practice|Probable|Texans|SUNDAY, NOVEMBER 29TH|2009
Gijon Robinson |TE|Concussion|Full Participation in Practice|Questionable|Texans|SUNDAY, NOVEMBER 29TH|2009
Pierre Garcon |WR|Ankle|Full Participation in Practice|Probable|Texans|SUNDAY, NOVEMBER 29TH|2009
Peyton Manning |QB|Glute|Full Participation in Practice|Probable|Texans|SUNDAY, NOVEMBER 29TH|2009
Tom Santi |TE|Hip|Full Participation in Practice|Probable|Texans|SUNDAY, NOVEMBER 29TH|2009
Anthony Gonzalez |WR|Knee|Did Not Participate In Practice|Out|Texans|SUNDAY, NOVEMBER 29TH|2009
Reggie Wayne |WR|Foot|Full Participation in Practice|Probable|Texans|SUNDAY, NOVEMBER 29TH|2009
Donald Brown |RB|Shoulder|Full Participation in Practice|Probable|Texans|SUNDAY, NOVEMBER 29TH|2009
Jonathan Stewart |RB|Achilles|Full Participation in Practice|Questionable|Panthers|SUNDAY, NOVEMBER 29TH|2009
Brad Hoover |RB|Ankle|Full Participation in Practice|Questionable|Panthers|SUNDAY, NOVEMBER 29TH|2009
